global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G001165,S9_PCPD,85,C[C@@]12CCCC([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C,Ent-kaurene,C=C1C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,ONVABDHFQKWOSV-HPUSYDDDSA-N,ok
CMP_G001166,S1_RCSB,187,O=C(O)c1ccc(CCCl)cc1,,O=C(O)c1ccc(CCCl)cc1,OOAPBGPLZAFZSO-UHFFFAOYSA-N,ok
CMP_G001167,S3_P450Rdb,1268,O=C1C(O)=C(OC=2C(OC)=C(OC)C(OC)=C(OC)C12)C=3C=CC(OC)=CC3,"3-Hydroxy-5,6,7,8,4��-pentamethoxyflavone",COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2O)cc1,OOAXTXAQDYRKFM-UHFFFAOYSA-N,ok
CMP_G001168,S2_ESIBank,343,CC1=CC(=O)C[C@@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O,,CC1=CC(=O)C[C@@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O,OOKTZCMLEXZZTR-QOMXHDIWSA-N,ok
CMP_G001169,S2_ESIBank,345,CC1=CC(=O)C[C@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O,,CC1=CC(=O)C[C@](C)(CF)[C@@]1(O)/C=C/C(C)=C\C(=O)O,OOKTZCMLEXZZTR-ZSIFGTMLSA-N,ok
CMP_G001170,S2_ESIBank,69,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,OPFTUNCRGUEPRZ-QLFBSQMISA-N,ok
CMP_G001171,S3_P450Rdb,276,O=C(O)C(N)CC=1C=2C=C(C=CC2N(C1C)C)N3CCOCC3,"Tryptophan, 2,1-dimethyl-5-(4-morpholinyl)- (ACI)",Cc1c(CC(N)C(=O)O)c2cc(N3CCOCC3)ccc2n1C,OPXUAOFLOJWDOZ-UHFFFAOYSA-N,ok
CMP_G001172,S2_ESIBank,183,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,OQIQSTLJSLGHID-WNWIJWBNSA-N,ok
CMP_G001173,S3_P450Rdb,609,CC(=CCCC1(C(O1)CCC2(C3CC4C2(C4C3)C)C)C)C,Epoxy-Lycosantalene,CC(C)=CCCC1(C)OC1CCC1(C)C2CC3C(C2)C31C,OQMFRPMPPVEEMJ-UHFFFAOYSA-N,ok
CMP_G001174,S1_RCSB,2,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,OQYFURUBPANIIX-BBRMVZONSA-N,ok
CMP_G001174,S3_P450Rdb,35,CC(C)[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)CO)NC,NMVT,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,OQYFURUBPANIIX-BBRMVZONSA-N,ok
CMP_G001175,S1_RCSB,72,C1C2CC3CC1CC(C2)C3,,C1C2CC3CC1CC(C2)C3,ORILYTVJVMAKLC-UHFFFAOYSA-N,ok
CMP_G001175,S3_P450Rdb,736,C1C2CC3CC1CC(C2)C3,Adamantane,C1C2CC3CC1CC(C2)C3,ORILYTVJVMAKLC-UHFFFAOYSA-N,ok
CMP_G001176,S9_PCPD,146,CC1=CCCC([C@H]1/C=C/C(=C\C(=O)[O-])/C)(C)C,alpha-ionylideneacetic acid,CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C\C(=O)[O-],ORMSPYIOCROMQP-PNARZHDTSA-M,ok
CMP_G001177,S1_RCSB,201,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,ok
CMP_G001177,S2_ESIBank,168,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,ok
CMP_G001177,S3_P450Rdb,393,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,Pregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,ok
CMP_G001177,S9_PCPD,63,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,Pregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,ok
