global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G000001,S3_P450Rdb,1040,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCCC4)C,A Steroid,*C1CCC2C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000002,S3_P450Rdb,546,C12C([C@]3(C(C(CC3)*)(C)CC1)C)CCC4C2(CCCC4)C,A 14Alpha-Methyl Steroid,*C1CC[C@@]2(C)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000003,S3_P450Rdb,548,CC12CCC3C(CCC4CCCCC34C)[C@@]1(CCC2[*])C=O,A 14alpha-formyl steroid,*C1CC[C@@]2(C=O)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000004,S3_P450Rdb,547,C12C([C@]3(C(C(CC3)*)(C)CC1)CO)CCC4C2(CCCC4)C,A 14alpha-hydroxymethyl steroid,*C1CC[C@@]2(CO)C3CCC4CCCCC4(C)C3CCC12C,,ok
CMP_G000005,S3_P450Rdb,602,[O-]C(=O)C[*],"A 1,2-Saturated Fatty Acid",*CC(=O)[O-],,ok
CMP_G000006,S3_P450Rdb,601,[O-]C(=O)CC[*],"2,3-Saturated Fatty Acid",*CCC(=O)[O-],,ok
CMP_G000007,S3_P450Rdb,1402,C1(C(CCC1=O)CC(N[C@H](C([O-])=O)*)=O)C/C=C\CC,A Jasmonyl-L-Amino Acid,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CC)C(=O)[O-],,ok
CMP_G000008,S3_P450Rdb,1432,C1(C(CCC1=O)CC(N[C@H](C([O-])=O)*)=O)C/C=C\CCO,A 12-Hydroxyjasmonyl-L-Alpha-Amino Acid,*[C@H](NC(=O)CC1CCC(=O)C1C/C=C\CCO)C(=O)[O-],,ok
CMP_G000009,S3_P450Rdb,36,*[H],An Organic Molecule,*[H],,ok
CMP_G000010,S3_P450Rdb,529,O1C2=C(C(C(C1C3=C(C(=C(C(=C3*)*)*)*)*)*)=O)C(=C(C(=C2*)*)*)*,A Flavanone,*c1c(*)c(*)c(C2Oc3c(*)c(*)c(*)c(*)c3C(=O)C2*)c(*)c1*,,ok
CMP_G000011,S3_P450Rdb,379,C1(=C(C(=C(C2=C1OC(=C(C2=O)*)C3=C(C(=C(C(=C3*)*)*)[H])*)*)*)*)*,A 3��-Unsubstituted Flavone,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*,,ok
CMP_G000012,S3_P450Rdb,378,O1C2=C(C(C(C1(C3=C(C=C(C=C3*)*)*)*)(*)*)=O)C(=C(C(=C2*)*)*)*,"A 3��,5��-Unsubstituted Flavanone",*c1cc(*)c(C2(*)Oc3c(*)c(*)c(*)c(*)c3C(=O)C2(*)*)c(*)c1,,ok
CMP_G000013,S3_P450Rdb,1090,C12=C(C(=C(C(=C2C(C(=C(O1)*)C=3C(=C(C(=C(C3*)*)*)*)[H])=O)*)*)*)*,A 2��-Unsubstituted Isoflavone,*c1cc(-c2c(*)oc3c(*)c(*)c(*)c(*)c3c2=O)c(*)c(*)c1*,,ok
CMP_G000014,S3_P450Rdb,459,C*C([O-])=O,An Omega-Methyl-Long-Chain Fatty Acid,C*C(=O)[O-],,ok
CMP_G000015,S3_P450Rdb,458,C(*C([O-])=O)C,An (Omega-1)-Ethyl Fatty Acid,CC*C(=O)[O-],,ok
CMP_G000016,S3_P450Rdb,745,CC1(C2CCC1(C(=S)C2)C)C,Thiocamphor,CC12CCC(CC1=S)C2(C)C,AAADKYXUTOBAGS-UHFFFAOYSA-N,ok
CMP_G000017,S1_RCSB,77,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,ok
CMP_G000017,S3_P450Rdb,750,C[C@@]12C(C)(C)[C@@](CC1=S)(CC2)[H],"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptane-2-thione",CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,AAADKYXUTOBAGS-XCBNKYQSSA-N,ok
CMP_G000018,S9_PCPD,486,C=C1CO1,Allene oxide,C=C1CO1,AAEZMHSWRQVQEK-UHFFFAOYSA-N,ok
CMP_G000019,S1_RCSB,78,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,ok
CMP_G000020,S3_P450Rdb,1400,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCCO,Marnerol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,ok
CMP_G000020,S8_PlantP450DB,8,C[C@@H]1CCC(=C(C)C)[C@H]([C@]1(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCCO,marnerol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)[C@H](C)CCC(=C(C)C)[C@H]1CCCO,AARUWLXSIZJQDK-OPEBEUCHSA-N,ok
CMP_G000021,S3_P450Rdb,1322,O=C1C(=C(OC(=C1C)CCC(=CC(=CC2=CC=C(I)C=C2)C)C)OC)C,"2-[(3E,5E)-6-(4-Iodophenyl)-3,5-dimethyl-3,5-hexadien-1-yl]-6-methoxy-3,5-dimethyl-4H-pyran-4-one",COc1oc(CCC(C)=CC(C)=Cc2ccc(I)cc2)c(C)c(=O)c1C,ABKYWKNIDMAZGJ-UHFFFAOYSA-N,ok
CMP_G000022,S3_P450Rdb,261,O=C(O)C(N)CC=1C=2C(F)=CC=CC2N(C1C)C,"Tryptophan, 4-fluoro-2,1-dimethyl- (ACI)",Cc1c(CC(N)C(=O)O)c2c(F)cccc2n1C,ABVSKMHTJOBIEN-UHFFFAOYSA-N,ok
CMP_G000023,S3_P450Rdb,720,C=1C=CC(=CC1)C2CC2C(C)C,"rel-[(1R,2S)-2-(1-Methylethyl)cyclopropyl]benzene",CC(C)C1CC1c1ccccc1,ACABZBGQXFLDAB-UHFFFAOYSA-N,ok
CMP_G000024,S2_ESIBank,169,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,ACFIXJIJDZMPPO-NNYOXOHSSA-N,ok
CMP_G000025,S3_P450Rdb,1017,O=CC(N)CC=1C=2C=C(Cl)C=CC2NC1C,alpha-Amino-5-chloro-2-methyl-1H-indole-3-propanal,Cc1[nH]c2ccc(Cl)cc2c1CC(N)C=O,ACYWZZDQWJSAQE-UHFFFAOYSA-N,ok
CMP_G000026,S8_PlantP450DB,61,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(=C)C,alpha-guaiene,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,ADIDQIZBYUABQK-RWMBFGLXSA-N,ok
CMP_G000027,S3_P450Rdb,958,O=C(O)C(N)CC1=CNC=2C(F)=CC=CC12,7-Fluorotryptophan,NC(Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-UHFFFAOYSA-N,ok
CMP_G000028,S3_P450Rdb,840,C1=CC2=C(C(=C1)F)NC=C2C[C@@H](C(=O)O)N,7-Fluoro-L-tryptophan,N[C@@H](Cc1c[nH]c2c(F)cccc12)C(=O)O,ADMHYWIKJSPIGJ-VIFPVBQESA-N,ok
CMP_G000029,S3_P450Rdb,490,CCSC1=CC=CC=C1,Ethyl phenyl sulfide,CCSc1ccccc1,AEHWKBXBXYNPCX-UHFFFAOYSA-N,ok
CMP_G000030,S1_RCSB,132,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,ok
CMP_G000030,S2_ESIBank,203,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,ok
CMP_G000030,S3_P450Rdb,144,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,"Androst-4-Ene-3,17-Dione",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,ok
CMP_G000030,S9_PCPD,29,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,"Androst-4-Ene-3,17-Dione",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N,ok
CMP_G000031,S3_P450Rdb,147,O=C1C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CC1,Androstenedione,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,AEMFNILZOJDQLW-UHFFFAOYSA-N,ok
CMP_G000032,S3_P450Rdb,853,C1C2=C(C=CC(O2)=O)C(=C2CCOC=12)OC/C=C(\C)/CC/C=C(\C)/C,"4-{[(2E)-3,7-dimethylocta-2,6-dienyl]oxy}-3,7-dihydro-2H-furo[3,2-g]chromen-7-one",CC(C)=CCC/C(C)=C/COc1c2c(cc3oc(=O)ccc13)OCC2,AESQHTDNFNVECX-OQLLNIDSSA-N,ok
CMP_G000033,S2_ESIBank,128,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,ok
CMP_G000033,S3_P450Rdb,599,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC,16-Methoxytabersonine,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,ok
CMP_G000033,S8_PlantP450DB,19,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC,16-methoxytabersonine,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,ok
CMP_G000033,S9_PCPD,438,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC,16-methoxytabersonine,CC[C@]12C=CCN3CC[C@]4(C(=C(C(=O)OC)C1)Nc1cc(OC)ccc14)[C@@H]32,AEXBRBWRPNGGEZ-FKBYEOEOSA-N,ok
CMP_G000034,S3_P450Rdb,1195,CCCC(C)C,2-Methylpentane,CCCC(C)C,AFABGHUZZDYHJO-UHFFFAOYSA-N,ok
CMP_G000035,S1_RCSB,170,COc1ccc(/C=C/C(=O)O)cc1,,COc1ccc(/C=C/C(=O)O)cc1,AFDXODALSZRGIH-QPJJXVBHSA-N,ok
CMP_G000036,S3_P450Rdb,826,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CCC(=O)C4)C=O,"17Beta-Hydroxy-3,19-Dioxo-5Alpha-Androstanone",C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C=O)[C@@H]1CC[C@@H]2O,AFTUEXSGQQDJKS-GLOHGQAKSA-N,ok
CMP_G000037,S3_P450Rdb,1023,O=CC(N)CC=1C=2C=CC(Br)=CC2N(C1C)C,"alpha-Amino-6-bromo-1,2-dimethyl-1H-indole-3-propanal",Cc1c(CC(N)C=O)c2ccc(Br)cc2n1C,AGHPKIQRCQNTFY-UHFFFAOYSA-N,ok
CMP_G000038,S9_PCPD,137,CC(=CCC/C(=C/CC1=C2C=C(C=C(C2=C(C3=C1[C@@H]([C@]4(CC(=O)C(=C([C@]4(C3=O)O)O)C(=O)N)O)O)O)O)OC)/C)C,previridicatumtoxin,COc1cc(O)c2c(O)c3c(c(C/C=C(\C)CCC=C(C)C)c2c1)[C@H](O)[C@@]1(O)CC(=O)C(C(N)=O)=C(O)[C@@]1(O)C3=O,AGMPGRYRWNVPEQ-BJTDMJNKSA-N,ok
CMP_G000039,S3_P450Rdb,502,CC[C@H](C)[C@@H](C(=O)O)N,L-Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,ok
CMP_G000039,S8_PlantP450DB,134,CC[C@H](C)[C@@H](C(=O)O)N,L-isoleucine,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,ok
CMP_G000039,S9_PCPD,318,CC[C@H](C)[C@@H](C(=O)O)N,L-Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,ok
CMP_G000040,S2_ESIBank,325,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,AHANXAKGNAKFSK-PDBXOOCHSA-N,ok
CMP_G000041,S3_P450Rdb,571,CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],"(11Z,14Z,17Z)-eicosatrienoate",CCC=CCC=CCC=CCCCCCCCCCC(=O)[O-],AHANXAKGNAKFSK-UHFFFAOYSA-M,ok
CMP_G000042,S9_PCPD,237,C(C[C@@H](C(=O)O)N)CN,L-ornithine,NCCC[C@H](N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,ok
CMP_G000043,S3_P450Rdb,988,O=C(O)CCC(C)CC(C)CC(C)CC,"(4S,6R,8R)-4,6,8-Trimethyldecanoic acid",CCC(C)CC(C)CC(C)CCC(=O)O,AIAJTWFRHSKNDS-UHFFFAOYSA-N,ok
CMP_G000044,S3_P450Rdb,177,O=C(O)C(N)CC1=CN(C2=C1C=CC=C2C3CC3)C,7-Cyclopropyl-1-methyltryptophan,Cn1cc(CC(N)C(=O)O)c2cccc(C3CC3)c21,AIBJDIHSMRRLHO-UHFFFAOYSA-N,ok
CMP_G000045,S1_RCSB,131,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,AINKKKUPSQZPIP-FRSJXWKWSA-N,ok
CMP_G000046,S3_P450Rdb,758,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,Hesperetin,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,AIONOLUJZLIMTK-UHFFFAOYSA-N,ok
CMP_G000047,S1_RCSB,219,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,AJLFOPYRIVGYMJ-INTXDZFKSA-N,ok
CMP_G000047,S3_P450Rdb,507,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,Mevastatin,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,AJLFOPYRIVGYMJ-INTXDZFKSA-N,ok
CMP_G000047,S9_PCPD,12,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,compactin,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,AJLFOPYRIVGYMJ-INTXDZFKSA-N,ok
CMP_G000048,S3_P450Rdb,895,CC1=NC(C(O1)C2=CC=CC=C2)COC,"4-(methoxymethyl)-2-methyl 5-phenyl-4,5-dihydrooxazole",COCC1N=C(C)OC1c1ccccc1,AKFIXTAIQHJWAU-UHFFFAOYSA-N,ok
CMP_G000049,S8_PlantP450DB,196,C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O,p-coumaroylagmatine,NC(N)=NCCCCNC(=O)C=Cc1ccc(O)cc1,AKIHYQWCLCDMMI-UHFFFAOYSA-N,ok
CMP_G000050,S3_P450Rdb,1007,O=CC(N)CC=1C=2C(F)=CC=CC2N(C1C)C,"alpha-Amino-4-fluoro-1,2-dimethyl-1H-indole-3-propanal",Cc1c(CC(N)C=O)c2c(F)cccc2n1C,AKSIPZOYAQUSLM-UHFFFAOYSA-N,ok
CMP_G000051,S3_P450Rdb,1293,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,3-Hydroxy-2-naphthoic acid,O=C(O)c1cc2ccccc2cc1O,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,ok
CMP_G000052,S3_P450Rdb,1467,C=1C=CC(=CC1)C=2C=CC=CC2C,"1,1��-Biphenyl, 2-methyl- (9CI, ACI)",Cc1ccccc1-c1ccccc1,ALLIZEAXNXSFGD-UHFFFAOYSA-N,ok
CMP_G000053,S3_P450Rdb,341,CN1CC2=C(C=CC(=C2OC)OC)C3=C1C4=CC5=C(C=C4C=C3)OCO5,Dihydrochelerythrine,COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3,ALZAZMCIBRHMFF-UHFFFAOYSA-N,ok
CMP_G000054,S8_PlantP450DB,227,C[C@@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,7-epi-loganin,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-OZIIXKNCSA-N,ok
CMP_G000055,S2_ESIBank,386,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-UOUCRYGSSA-N,ok
CMP_G000055,S3_P450Rdb,382,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,Loganin,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-UOUCRYGSSA-N,ok
CMP_G000055,S8_PlantP450DB,214,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,loganin,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-UOUCRYGSSA-N,ok
CMP_G000056,S3_P450Rdb,510,CC(C)C=O,2-Methylpropanal,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,ok
CMP_G000056,S9_PCPD,362,CC(C)C=O,2-Methylpropanal,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,ok
CMP_G000057,S9_PCPD,81,CC1=CC(=CC(=C1C(=O)O)O)O,orsellinic acid,Cc1cc(O)cc(O)c1C(=O)O,AMKYESDOVDKZKV-UHFFFAOYSA-N,ok
CMP_G000058,S3_P450Rdb,949,O=C(O)C(N)CC1=CC=2C(OC)=CC=CC2N1C,4-Methoxy-1-methyltryptophan,COc1cccc2c1cc(CC(N)C(=O)O)n2C,AMPOJHMBNDGPIU-UHFFFAOYSA-N,ok
CMP_G000059,S8_PlantP450DB,194,C1=CC(=CC=C1/C=C/C(=O)C(N(C(=O)/C=C/C2=CC=C(C=C2)O)C(=O)/C=C/C3=CC=C(C=C3)O)CCCNCCCN)O,"N1,N5,N10-tri(4-coumaroyl)spermidine",NCCCNCCCC(C(=O)/C=C/c1ccc(O)cc1)N(C(=O)/C=C/c1ccc(O)cc1)C(=O)/C=C/c1ccc(O)cc1,ANNWHZVJHRKQKH-AUCPOXKISA-N,ok
CMP_G000060,S2_ESIBank,314,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,ANVAOWXLWRTKGA-JLTXGRSLSA-N,ok
CMP_G000061,S3_P450Rdb,500,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C,Alpha-Carotene,CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,ANVAOWXLWRTKGA-NTXLUARGSA-N,ok
CMP_G000061,S8_PlantP450DB,287,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C,"alpha-carotene (beta,epsilon-carotene)",CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,ANVAOWXLWRTKGA-NTXLUARGSA-N,ok
CMP_G000062,S3_P450Rdb,1144,C[C@H](CC=O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,"(1S)-1-Hydroxy-23-Oxo-24,25,26,27-Tetranorcalciol",C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC=O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,AOVGFTJYESGAEA-NKLFQLIUSA-N,ok
CMP_G000062,S9_PCPD,251,C[C@H](CC=O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,"(1S)-1-Hydroxy-23-Oxo-24,25,26,27-Tetranorcalciol",C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC=O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,AOVGFTJYESGAEA-NKLFQLIUSA-N,ok
CMP_G000063,S2_ESIBank,326,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CCC(C[C@H]12)C3(C)C,,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CCC(C[C@H]12)C3(C)C,APIZAZFFQBVSJA-UXGKSEPASA-N,ok
CMP_G000064,S3_P450Rdb,1396,CC1=C2CC[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)CC1)OC(=O)C)C,"Taxa-4(20),11-Dien-5Alpha-Yl Acetate",C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,APIZAZFFQBVSJA-ZJDLJICXSA-N,ok
CMP_G000064,S8_PlantP450DB,277,CC1=C2CC[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)CC1)OC(=O)C)C,"taxa-4(20),11(12)-dien-5alpha-yl acetate",C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,APIZAZFFQBVSJA-ZJDLJICXSA-N,ok
CMP_G000065,S3_P450Rdb,812,C1=CC=C2C(=C1)C(=CN2)CCN,Tryptamine,NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,ok
CMP_G000065,S3_P450Rdb,940,NCCC1=CNC=2C=CC=CC21,Tryptamine,NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,ok
CMP_G000065,S8_PlantP450DB,39,C1=CC=C2C(=C1)C(=CN2)CCN,tryptamine,NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,ok
CMP_G000066,S2_ESIBank,137,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-SQXURCFHSA-N,ok
CMP_G000067,S2_ESIBank,136,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-TVRYRFOISA-N,ok
CMP_G000067,S3_P450Rdb,637,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,"5Beta-Cholestane-3Alpha,7Alpha-Diol",CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-TVRYRFOISA-N,ok
CMP_G000067,S9_PCPD,367,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,"5Beta-Cholestane-3Alpha,7Alpha-Diol",CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,APYVEUGLZHAHDJ-TVRYRFOISA-N,ok
