Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
Beta-amyrin,6708529,,,C30H50O,C[C@@]12CC[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C1CC(CC2)(C)C)C
6-OH oleanolic acid,9982268,,,C30H48O4,C[C@]12CC[C@@H](C(C1[C@@H](C[C@@]3(C2CC=C4[C@]3(CC[C@@]5(C4CC(CC5)(C)C)C(=O)O)C)C)O)(C)C)O
Echinocystic acid,6708654,,,C30H48O4,C[C@]12CC[C@@H](C(C1CC[C@@]3(C2CC=C4[C@]3(C[C@@H]([C@@]5(C4CC(CC5)(C)C)C(=O)O)O)C)C)(C)C)O
(S)-Coclaurine,160487,,,C17H19NO3,COC1=C(C=C2[C@@H](NCCC2=C1)CC3=CC=C(C=C3)O)O
19-dehydroxy-andrograpanin,58615747,,,C20H30O2,C[C@@]12CCCC([C@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)(C)C
andrograpanin,11666871,,,C20H30O3,C[C@]1(CCC[C@@]2([C@@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)C)CO
14-deoxyandrographolide,11624161,,,C20H30O4,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)(C)CO)O
Osthenol,5320318,,,C14H14O3,OC1C=CC2C=CC(OC=2C=1C/C=C(\C)/C)=O
Psoralen,6199,,66-97-7,C11H6O3,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21
6-methoxycoumarin,11240776,,17372-53-1,C10H8O3,COC1=CC2=C(C=C1)OC(=O)C=C2
24-Methylcholesterol,12358784,,,C28H48O,C[C@H](CCC(C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
"2,3,4-trihydroxy-5,6-dimethylbenzaldehyde",130024811,,,C9H10O4,CC1=C(C(=C(C(=C1C=O)O)O)O)C
"2,3,4-Trihydroxy-6-(hydroxymethyl)-5-methylbenzaldehyde",9834219,,,C9H10O5,CC1=C(C(=C(C(=C1O)O)O)C=O)CO
"4-methyl-1,3-dihydro-2-benzofuran-1,5,6,7-tetrol",9815565,,,C9H10O5,CC1=C2COC(C2=C(C(=C1O)O)O)O
"4,6-dihydroxy-2,3-dimethylbenzaldehyde",254155,,,C9H10O3,CC1=C(C(=C(C=C1O)O)C=O)C
(2-Hydroxyphenyl)acetic acid,11970,,614-75-5,C8H8O3,C1=CC=C(C(=C1)CC(=O)O)O
Melilotic acid,873,,495-78-3,C9H10O3,C1=CC=C(C(=C1)CCC(=O)O)O
L-Alanyl-L-Tryptophan Anhydride,15563754,,17079-37-7,C14H15N3O2,C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CNC3=CC=CC=C32
Polanrazine A,92160941,,29552-08-7,C16H19N3O2,CC(C)[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CNC3=CC=CC=C32
Cyclo(L-leucyl-L-tryptophyl),3082081,,15136-34-2,C17H21N3O2,CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CNC3=CC=CC=C32
"(11S,14S)-Cyclo-(L-Trp-L-Phe)",7408486,,6521-48-8,C20H19N3O2,C1=CC=C(C=C1)C[C@H]2C(=O)N[C@H](C(=O)N2)CC3=CNC4=CC=CC=C43
Ursolic Acid,3001199,,,C30H48O3,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CCC4[C@]3(CCC5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C2[C@H]1C)C)C(=O)O
"(1R,3R,5S,12R,14S,15S,18S)-5-acetyl-3,10,10,14,18-pentamethyl-20-methylidene-9,17,19-trioxahexacyclo[10.6.1.13,15.01,15.05,14.06,11]icos-6(11)-ene-2,8,16-trione",139093260,,,C25H28O7,C[C@H]1[C@]23C(=O)[C@@]4(C[C@@]5(C6=C([C@H](O2)C[C@@]5([C@]3(C4=C)C(=O)O1)C)C(OC(=O)C6)(C)C)C(=O)C)C
Paclitaxel,36314,,33069-62-4,C47H51NO14,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
Perillyl Alcohol,10819,,536-59-4,C10H16O,CC(=C)C1CCC(=CC1)CO
(+/-)Campathecin,2538,,31456-25-4,C20H16N2O4,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
N-Methylcoclaurine,2752274,,,C18H21NO3,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)O)OC
(+)-Norisoboldine,14539911,,23599-69-1,C18H19NO4,COC1=C(C2=C3[C@H](CC4=CC(=C(C=C42)OC)O)NCCC3=C1)O
Nordomesticine,10064023,,,C18H17NO4,COC1=C(C2=C3[C@H](CC4=CC5=C(C=C42)OCO5)NCCC3=C1)O
(+)-Isodomesticine,15690954,,70560-83-7,C19H19NO4,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC5=C(C=C43)OCO5)OC)O
(+)-Boldine,10154,,476-70-0,C19H21NO4,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O
Cassythicine,442194,,5890-28-8,C19H19NO4,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC(=C(C=C54)OC)O)OCO3
taxadiene hexaacetate,14446189,,,C32H44O12,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C
Decinnamoyltaxinine J,14446187,,,C30H42O11,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C
wigandol,44140145,,,C16H20O2,C/C/1=C\CC2=C(C=CC(=C2C/C(=C\CC1)/C)O)O
arnebinol A,172429338,,,C16H16O4,C/C/1=C/CCC2=C[C@@H](C3=C(C=CC(=C3C1)O)O)OC2=O
campesine B,172429323,,,C17H26N3+,CC(C)[C@H]1CN[C@H](C[NH+]1C)CC2=CNC3=CC=CC=C32
campesine C,172429325,,,C18H26N3O+,CC(C)[C@H]1C[NH2+][C@H](CN1C(=O)C)CC2=CNC3=CC=CC=C32
campesine D,172429328,,,C35H49N6O+,CC(C)[C@H]1CN2[C@@H]3C4(C[C@H]5CN([C@H](CN5[C@@H]6C4(CC2C[NH+]1C)C7=CC=CC=C7N6)C(C)C)C(=O)C)C8=CC=CC=C8N3
Resveratrol,445154,,501-36-0,C14H12O3,OC1C=C(C=C(C=1)O)/C=C/C1C=CC(=CC=1)O
Polydatin,73642,,65914-17-2,C20H22O8,[C@H](O)1[C@H]([C@@H](OC([C@H]1O)CO)OC1C=C(C=C(C=1)O)/C=C/C1C=CC(=CC=1)O)O
Phloretin,4788,,60-82-2,C15H14O5,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
Isopimaric Acid,442048,,5835-26-7,C20H30O2,C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)C1)C=C
Nezukol,13969544,,14699-32-2,C20H34O,C[C@@]1(CC[C@@H]2[C@]3(CCCC([C@@H]3CC[C@]2(C1)O)(C)C)C)C=C
Abietic acid,10569,,514-10-3,C20H30O2,C[C@@]12[C@]([C@@](C(O)=O)(C)CCC1)(CC=C3[C@@]2(CCC(C(C)C)=C3)[H])[H]
"(4aS,9S,10aS)-1,1,4a-trimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthren-9-ol",21632830,,,C20H30O,CC(C)C1=CC2=C(C=C1)[C@]3(CCCC([C@@H]3C[C@@H]2O)(C)C)C
Dehydroabietic Acid,94391,,1740-19-8,C20H28O2,CC(C)C1=CC2=C(C=C1)[C@]3(CCC[C@@]([C@@H]3CC2)(C)C(=O)O)C
variecoladiene,171364920,,,C25H40,C[C@H]1CC[C@@H]/2[C@H]1C[C@]3(CC[C@@]4(CC[C@@H]([C@H]4[C@@H]3C/C=C2/C)C(=C)C)C)C
Terpinen-4-ol,11230,,562-74-3,C10H18O,CC1=CCC(CC1)(C(C)C)O
Carveol,7438,,99-48-9,C10H16O,CC1=CCC(CC1O)C(=C)C
prenylhydroquinone,100485,,5919-91-5,C11H14O2,CC(=CCC1=C(C=CC(=C1)O)O)C
Beta-sitosterol,15976101,,,C30H52O,CCC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
sunitinib,5329102,,557795-19-4,C22H27FN4O2,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
Agroclavin,287403,,548-42-5,C16H18N2,CC1=CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C
Elymoclavin,11051,,548-43-6,C16H18N2O,CN1CC(=CC2C1CC3=CNC4=CC=CC2=C34)CO
osmanthuside B,10438425,,94492-23-6,C29H36O13,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC=C(C=C3)O)CO)OCCC4=CC=C(C=C4)O)O)O)O)O
4-(1-Methyl-2-pyrrolidinyl)-3-oxobutanoate,57417332,,,C9H15NO3,CN1CCCC1CC(=O)CC(=O)O
Caaverine,23335,,,C17H17NO2,COC1=C(C2=C3[C@@H](CC4=CC=CC=C42)NCCC3=C1)O
Lirinidine,31069,,54383-28-7,C18H19NO2,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=CC=C43)O)OC
4-Methoxybenzoic Acid,7478,,1335-08-6,C8H8O3,COC1=CC=C(C=C1)C(=O)O
NO,145068,,10102-43-9,NO,[N]=O
Phorate sulfoxide,17424,,251354,C7H17O3PS3,CCOP(=S)(OCC)SCS(=O)CC
Tetralin,8404,,119-64-2,C10H12,C=1C=CC2=C(C1)CCCC2
Onapristone,5311505,,96346-61-1,C29H39NO3,O=C1C=C2C(=C3C(C4=CC=C(C=C4)N(C)C)CC5(C)C(CCC5(O)CCCO)C3CC2)CC1
2Beta-Hydroxytestosterone,14311667,,10390-14-4,C19H28O3,O=C1C=C2CCC3C(CCC4(C)C(O)CCC34)C2(C)CC1O
"4-(1-Bromo-1-methylethyl)-3,3-dimethyl-1-(phenylmethyl)-2-azetidinone",15550917,,360558-95-8,C15H20BrNO,O=C1N(CC=2C=CC=CC2)C(C(Br)(C)C)C1(C)C
2-Bromo-2-methyl-N-(phenylmethyl)-N-2-propen-1-ylpropanamide,71490651,,1050654-09-5,C14H18BrNO,O=C(N(CC=C)CC=1C=CC=CC1)C(Br)(C)C
2-Bromo-N-(2E)-2-buten-1-yl-2-methyl-N-(phenylmethyl)propanamide,167458533,,2459745-67-4,C15H20BrNO,O=C(N(CC=CC)CC=1C=CC=CC1)C(Br)(C)C
"(1aS,4R,4aS,8S,9R,11aR,12aS)-4,4a,8,9-Tetrahydro-4-hydroxy-9-(2-hydroxy-3,4-dimethoxyphenyl)-12H-8,11a-(iminomethano)-1aH,7H-[1,2,4]dithiazepino[4,3-b]oxireno[e][1,2]benzoxazine-7,13-dione (ACI)",85148368,,83912-90-7,C20H20N2O8S2,O=C1NC2C(=O)N3OC4C(O)C=CC5OC54CC13SSC2C6=CC=C(OC)C(OC)=C6O
"(3R,4S,7aS,8R,11R,11aS,12aR)-3,4,7a,8,11a,12-Hexahydro-8,11,11a-trihydroxy-3-(2-hydroxy-3,4-dimethoxyphenyl)-11H-4,12a-(iminomethano)-5H-[1,2,4]dithiazepino[4,3-b][1,2]benzoxazine-5,13-dione (ACI)",129713921,,905303-26-6,C20H22N2O9S2,O=C1NC2C(=O)N3OC4C(O)C=CC(O)C4(O)CC13SSC2C5=CC=C(OC)C(OC)=C5O
Nonanoic acid,8158,,112-05-0,C9H18O2,O=C(O)CCCCCCCC
A-2315A,6441077,,3038832-22-0,C22H29N3O7S,C[CH]1/C=C/C(=O)NC/C=C/C(=C/[CH](C[CH](CC2=NC(=CO2)C(=O)N[CH](C(=O)O[CH]1C(C)C)C)O)O)/C
Sebacic acid,5192,,111-20-6,C10H18O4,O=C(O)CCCCCCCCC(=O)O
Indole,789,,120-72-9,C8H7N,C=1C=CC=2NC=CC2C1
Azelaic acid,19347555,,123-99-9,C9H16O4,O=C(O)CCCCCCCC(=O)O
Agroclavin,73484,,548-42-5,C16H18N2,C=1C=C2NC=C3C2=C(C1)C4C=C(C)CN(C)C4C3
Hexanoic acid,8892,,142-62-1,C6H12O2,O=C(O)CCCCC
Polpunonic acid,169521,,33600-93-0,C30H48O3,O=C(O)C1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C(=O)CCC5C4(C)CCC3(C)C2C1)C
Ent-atiserene,101297699,,20230-48-2,C20H32,[H][C@@]12[C@](C)([C@H]3[C@@](CC1)1CC(=C)[C@H](C3)CC1)CCCC2(C)C
"(1R,4S,5R,9S,10R,12S)-5,9-dimethyl-13-methylidenetetracyclo[10.2.2.01,10.04,9]hexadecane-5-carbaldehyde",170780609,,,C20H30O,C[C@]1(CCC[C@@]2([C@@H]1CC[C@]34[C@H]2C[C@H](CC3)C(=C)C4)C)C=O
"(1R,4R,9S,10R,12S)-5,5-dimethyl-13-methylidenetetracyclo[10.2.2.01,10.04,9]hexadecane-9-carbaldehyde",170780626,,,C20H30O,CC1(CCC[C@@]2([C@@H]1CC[C@]34[C@H]2C[C@H](CC3)C(=C)C4)C=O)C
"(1R,4R,5R,9R,10R,12S)-5-methyl-13-methylidenetetracyclo[10.2.2.01,10.04,9]hexadecane-5,9-dicarbaldehyde",170780622,,,C20H28O2,C[C@]1(CCC[C@@]2([C@@H]1CC[C@]34[C@H]2C[C@H](CC3)C(=C)C4)C=O)C=O
Cyclosporin A,5284373,,59865-13-3,C62H111N11O12,O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C
Acetoxolone,94320,,6277-14-1,C32H48O5,O=C(OC1CCC2(C)C3C(=O)C=C4C5CC(C(=O)O)(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C)C
Glycyrrhetinic acid,10114,,471-53-4,C30H46O4,O=C(O)C1(C)CCC2(C)CCC3(C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1)C
Dopamine,681,,51-61-6,C8H11NO2,OC1=CC=C(C=C1O)CCN
Tyramine,5610,,51-67-2,C8H11NO,OC1=CC=C(C=C1)CCN
3-Methoxytyramine,1669,,554-52-9,C9H13NO2,OC1=CC=C(C=C1OC)CCN
"16alpha,19-Dihydroxy-ent-kaurane",52916190,,70901-55-2,C20H34O2,OCC1(C)CCCC2(C)C1CCC34CC(CCC32)C(O)(C)C4
Anthranilic acid,227,,118-92-3,C7H7NO2,O=C(O)C=1C=CC=CC1N
6-Hydroxy-2-naphthoic acid,85557,,16712-64-4,C11H8O3,C1=CC2=C(C=CC(=C2)O)C=C1C(=O)O
1-Hydroxy-2-naphthoic acid,6844,,86-48-6,C11H8O3,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
3-Hydroxy-2-naphthoic acid,7104,,92-70-6,C11H8O3,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O
"Cyclotridecyl 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranoside",44241489,,1207068-32-3,C21H41NO3,CC1CC(C(C(O1)OC2CCCCCCCCCCCC2)O)N(C)C
"Cyclotetradecyl 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranoside",67068119,,1207068-33-4,C22H43NO3,CC1CC(C(C(O1)OC2CCCCCCCCCCCCC2)O)N(C)C
"Cyclopentadecyl 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranoside",67068104,,1207068-35-6,C23H45NO3,CC1CC(C(C(O1)OC2CCCCCCCCCCCCCC2)O)N(C)C
"1-Pyrenyl 3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranoside",86668318,,1207068-46-9,C24H25NO3,CC1CC(C(C(O1)OC2=C3C=CC4=CC=CC5=C4C3=C(C=C5)C=C2)O)N(C)C
"6-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-3,5,7,9,13-pentamethyl-1-oxacyclotetradec-11-ene-2,4,10-trione",74340065,,6036-25-5,C28H47NO7,CCC1C(C=CC(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC2C(C(CC(O2)C)N(C)C)O)C)C)C
daidzein,5281708,,486-66-8,C15H10O4,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
genistein,5280961,,446-72-0,C15H10O5,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
ALPHA-PINENE,6654,,80-56-8,C10H16,CC1=CCC2CC1C2(C)C
pladienolide B,16202130,,445493-23-2,C30H48O8,CCC(C(C)C1C(O1)CC(C)C=CC=C(C)C2C(C=CC(C(CCC(CC(=O)O2)O)(C)O)OC(=O)C)C)O
D-CAMPHOR,159055,,464-49-3,C10H16O,CC1(C2CCC1(C(=O)C2)C)C
Methyl 4-(2-fluoro-2-methylpropyl)-alpha-methylbenzeneacetate,24821194,,1006063-89-3,C14H19FO2,CC(C1=CC=C(C=C1)CC(C)(C)F)C(=O)OC
"4-(methoxymethyl)-2-methyl 5-phenyl-4,5-dihydrooxazole",671208,,52075-14-6,C12H15NO2,CC1=NC(C(O1)C2=CC=CC=C2)COC
"2,3-dimethylcyclopent-2-enone",14270,,1121-05-7,C7H10O,CC1=C(C(=O)CC1)C
Ibuprofen methyl ester,109101,,61566-34-5,C14H20O2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC
Dihydrojasmone,62378,,1128-08-1,C11H18O,CCCCCC1=C(CCC1=O)C
"(3aR,4S,5R,6aS)-5-(Benzoyloxy)hexahydro-4-(methoxymethyl)-2H-cyclopentafuran-2-one",25020821,,39745-99-8,C16H18O5,COC[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=O)O2)OC(=O)C3=CC=CC=C3
(3-Chlorophenyl)acetic acid propyl ester,25020812,,515877-63-1,C11H13ClO2,CCCOC(=O)CC1=CC(=CC=C1)Cl
"3-methyl-2,3,4,5,6,7-hexahydro-1H-inden-1-one",11105531,,18631-68-0,C10H14O,CC1CC(=O)C2=C1CCCC2
Ethyl 2-phenylacetate,7590,,101-97-3,C10H12O2,CCOC(=O)CC1=CC=CC=C1
p-Tolylacetic acid propyl ester,13331671,,93578-98-4,C12H16O2,CCCOC(=O)CC1=CC=C(C=C1)C
o-Tolylacetic acid propyl ester,25020814,,96307-74-3,C12H16O2,CCCOC(=O)CC1=CC=CC=C1C
"(3aR,4S,5R,6aS)-Hexahydro-5-methoxy-4-(methoxymethyl)-2H-cyclopentafuran-2-one",25020818,,1101874-04-7,C10H16O4,O=C1OC2CC(OC)C(COC)C2C1
"(3aR,4S,5R,6aS)-[1,1°‰-Biphenyl]-4-carboxylic acid, hexahydro-4-(hydroxymethyl)-2-oxo-2H-cyclopentafuran-5-yl ester",14214538,,38361-00-1,C22H22O5,O=C(OC1CC2OC(=O)CC2C1COC)C=3C=CC(=CC3)C=4C=CC=CC4
Methyl 2-phenylacetate,7559,,101-41-7,C9H10O2,COC(=O)CC1=CC=CC=C1
methyl (6S)-3-iodo-6-phenylmethoxyoct-7-enoate,10981965,,1135345-07-1,C16H21IO3,O=C1C(=C(OC(=C1C)CCC(=CC(=CI)C)C)OC)C
"4-hydroxy-6-[(3E,5E)-6-iodo-3,5-dimethylhexa-3,5-dienyl]-3,5-dimethylpyran-2-one",134838055,,1135345-06-0,C15H19IO3,CC1=C(OC(=O)C(=C1O)C)CC/C(=C/C(=C/I)/C)/C
luteothin,11246062,,,C22H25NO5,CC1=C(OC(=C(C1=O)C)OC)CC/C(=C/C(=C/C2=CC=C(C=C2)[N+](=O)[O-])/C)/C
Methane,297,,74-82-8,CH4,C
Methyl bromide,6323,,74-83-9,CH3Br,CBr
Methyl chloride,6327,,74-87-3,CH3Cl,CCl
Methyl iodide,6328,,74-88-4,CH3I,CI
Aniline,6115,,62-53-3,C6H7N,C1=CC=C(C=C1)N
S-Adenosyl-L-methionine,34755,,29908-03-0,C15H22N6O5S,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
Tangeretin,68077,,481-53-8,C20H20O7,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
"3-Hydroxy-5,6,7,8,4°‰-pentamethoxyflavone",10715291,,50461-91-1,C20H20O8,O=C1C(O)=C(OC=2C(OC)=C(OC)C(OC)=C(OC)C12)C=3C=CC(OC)=CC3
"(2r,4r,6r,8r)-2,4,6,8-Tetramethyldecan-1-ol",11694210,,139632-56-7,C14H30O,OCC(C)CC(C)CC(C)CC(C)CC
N-Methyl-9-acridinamine,31503,,22739-29-3,C14H12N2,CNC1=C2C=CC=CC2=NC3=CC=CC=C31
N-Propyl-9-acridinamine,153062,,69530-83-2,C16H16N2,CCCNC1=C2C=CC=CC2=NC3=CC=CC=C31
m-Xylene,7929,,108-38-3,C8H10,CC1=CC(=CC=C1)C
Indene,7219,,95-13-6,C9H8,C1C=CC2=CC=CC=C21
Ethylbenzene,7500,,100-41-4,C8H10,CCC1=CC=CC=C1
Hexanol,8103,,25917-35-5,C6H14O,CCCCCCO
Propanol,1031,,62309-51-7,C3H8O,CCCO
Nonanol,8914,,28473-21-4,C9H20O,CCCCCCCCCO
Octanol,11527,,29063-28-3,C8H18O,CCCCCC(CC)O
Decanol,8174,,36729-58-5,C10H22O,CCCCCCCCCCO
Heptanol,8129,,53535-33-4,C7H16O,CCCCCCCO
"(4S)-4,5-Dihydro-2-(1H-indol-3-yl)-4-thiazolecarboxylic acid",17756750,,912282-33-8,C12H10N2O2S,O=C(O)C1N=C(SC1)C2=CNC=3C=CC=CC32
"(4R)-4,5-Dihydro-2-(1H-indol-3-yl)-4-thiazolecarboxylic acid",17756751,,912282-34-9,C12H10N2O2S,O=C(O)C1N=C(SC1)C2=CNC=3C=CC=CC32
(+)-2-Dodecanol,25045,,10203-28-8,C12H26O,CCCCCCCCCCC(C)O
2-Octanol,20083,,123-96-6,C8H18O,CCCCCCC(C)O
(+)-2-Hexanol,12297,,626-93-7,C6H14O,CCCCC(C)O
Tridecane,12388,,629-50-5,C13H28,CCCCCCCCCCCCC
1-Tetradecanol,8209,,112-72-1,C14H30O,CCCCCCCCCCCCCCO
"(2R,4R,6R,8R)-2,4,6,8-Tetramethyldecanoic acid",11615544,,10553-02-3,C14H28O2,CCC(C)CC(C)CC(C)CC(C)C(=O)O
"(4R,6R,8R)-4,6,8-Trimethyl-2-decanone",11030808,,158648-77-2,C13H26O,O=C(C)CC(C)CC(C)CC(C)CC
"(2R,4R,6R)-4,6-Dimethyl-2-octanol",11579173,,174002-27-8,C10H22O,OC(C)CC(C)CC(C)CC
"(2R,4R,6R,8R)-4,6,8-Trimethyl-2-decanol",11063460,,174002-29-0,C13H28O,OC(C)CC(C)CC(C)CC(C)CC
"(2R,4R,6R)-2,4,6-Trimethyl-1-octanol",11528430,,174173-54-7,C11H24O,OCC(C)CC(C)CC(C)CC
"Methyl (2R,4R,6R)-2,4,6-trimethyloctanoate",11694103,,2490-00-8,C12H24O2,CCC(C)CC(C)CC(C)C(=O)OC
"Methyl (2R,4R,6R,8R)-2,4,6,8-tetramethyldecanoate",10955750,,2490-56-4,C15H30O2,CCC(C)CC(C)CC(C)CC(C)C(=O)OC
"(2R,4R,6R,8R)-2,4,6,8-Tetramethylundecanoic acid",15168378,,10553-03-4,C15H30O2,CCCC(C)CC(C)CC(C)CC(C)C(=O)O
"(2R,4R,6R,8R)-2,4,6,8-Tetramethyl-1-undecanol",101663410,,158582-09-3,C15H32O,OCC(C)CC(C)CC(C)CC(C)CCC
"(4R,6R,8R)-4,6,8-Trimethyl-2-undecanone",11095932,,174002-31-4,C14H28O,O=C(C)CC(C)CC(C)CC(C)CCC
"Methyl (2R,4R,6R,8R)-2,4,6,8-tetramethylundecanoate",10879717,,872729-67-4,C16H32O2,O=C(OC)C(C)CC(C)CC(C)CC(C)CCC
13-Methyltetradecanoic acid,151014,,2485-71-4,C15H30O2,CC(C)CCCCCCCCCCCC(=O)O
Anteisopentadecanoic acid,21672,,5502-94-3,C15H30O2,CCC(C)CCCCCCCCCCC(=O)O
Butyl phenylacetate,31210,,122-43-0,C12H16O2,CCCCOC(=O)CC1=CC=CC=C1
Ethyl 3-chlorobenzeneacetate,8063366,,14062-29-4,C10H11ClO2,CCOC(=O)CC1=CC(=CC=C1)Cl
Buspirone,2477,,36505-84-7,C21H31N5O2,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
Propyl phenylacetate,221641,,4606-15-9,C11H14O2,CCCOC(=O)CC1=CC=CC=C1
Butyl 3-chlorobenzeneacetate,11665765,,515877-64-2,C12H15ClO2,O=C(OCCCC)CC=1C=CC=C(Cl)C1
Beta-Ionone,638014,,79-77-6,C13H20O,CC1=C(C(CCC1)(C)C)C=CC(=O)C
Cryptophycin D,10371453,,155645-51-5,C35H44N2O7,CC1CNC(=O)C(NC(=O)C=CCC(OC(=O)C(OC1=O)CC(C)C)C(C)C=CC2=CC=CC=C2)CC3=CC=C(C=C3)OC
"3-Amino-2,2-dimethylpropanoic acid",95739,,19036-43-2,C5H11NO2,CC(C)(CN)C(=O)O
3-Fluoro-D-tyrosine,719318,,64024-06-2,C9H10FNO3,C1=CC(=C(C=C1CC(C(=O)O)N)F)O
4-Bromophenylalanine,85681,,14091-15-7,C9H10BrNO2,C1=CC(=CC=C1CC(C(=O)O)N)Br
DL-2-Fluorophenylalanine,9465,,2629-55-2,C9H10FNO2,C1=CC=C(C(=C1)CC(C(=O)O)N)F
L-beta-Aminoisobutyric acid,6971062,,4249-19-8,C4H9NO2,O=C(O)C(C)CN
3-Fluorophenylalanine,9976,,456-88-2,C9H10FNO2,C1=CC(=CC(=C1)F)CC(C(=O)O)N
p-Fluorophenylalanine,4654,,51-65-0,C9H10FNO2,C1=CC(=CC=C1CC(C(=O)O)N)F
3-Iodo-L-tyrosine,439744,,70-78-0,C9H10INO3,C1=CC(=C(C=C1CC(C(=O)O)N)I)O
Beta-Alanine,239,,107-95-9,C3H7NO2,C(CN)C(=O)O
4-Methyl-L-phenylalanine,151513,,1991-87-3,C10H13NO2,CC1=CC=C(C=C1)CC(C(=O)O)N
4-Chloro-DL-phenylalanine,4652,,7424-00-2,C9H10ClNO2,C1=CC(=CC=C1CC(C(=O)O)N)Cl
Alpha-Ionone,5282108,,127-41-3,C13H20O,CC1=CCCC(C1C=CC(=O)C)(C)C
"4-Hydroperoxy-2,4,6-trimethyl-2,5-cyclohexadien-1-one",11332688,,33919-00-5,C9H12O3,CC1=CC(C=C(C1=O)C)(C)OO
