Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
3Beta-Hydroxy-5Beta-Cholestan-6-One,92278124,,,C27H46O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@H]4[C@@]3(CC[C@@H](C4)O)C)C
(-)-4°‰-Desmethyl-Deoxypodophyllotoxin,160705,,,C21H20O7,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O
7-Demethylsiderin,5318268,,,C11H10O4,CC1=CC(=CC2=C1C(=CC(=O)O2)OC)O
(-)-Deoxypodophyllotoxin,345501,,,C22H22O7,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O
(-)-Bursehernin,94504,,,C21H22O6,COC1=C(C=C(C=C1)C[C@@H]2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4)OC
Miltiradiene,20837867,,,C20H32,CC(C)C1=CCC2=C(C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C
11-Hydroxyferruginol,46832173,,,C20H30O2,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O)O
Oleanolate,11865404,,,C30H47O3-,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)[O-])C)C)(C)C)O
L-Tyrosine,6057,,,C9H11NO3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
Betulin,72326,,,C30H50O2,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO
11-Hydroxysugiol,10403490,,,C20H28O3,CC(C)C1=C(C(=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C)O)O
4°‰-O-Methylnorbelladine,253994,,,C16H19NO3,COC1=C(C=C(C=C1)CNCCC2=CC=C(C=C2)O)O
Alpha-Santalene,94164,,,C15H24,CC(=CCCC1(C2CC3C1(C3C2)C)C)C
Beta-Santalene,10889018,,,C15H24,CC(=CCC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)C
Epi-Beta-Santalene,11106484,,,C15H24,CC(=CCC[C@]1([C@H]2CC[C@H](C2)C1=C)C)C
Alpha-Exo-Bergamotene,86608,,,C15H24,CC1=CCC2CC1C2(C)CCC=C(C)C
Uvaol,92802,,,C30H50O2,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO
"2,3°‰,4,6-Tetrahydroxybenzophenone",440991,,,C13H10O5,C1=CC(=CC(=C1)O)C(=O)C2=C(C=C(C=C2O)O)O
13(R)-Manoyl Oxide,6432025,,,C20H34O,C[C@@]1(CC[C@@H]2[C@]3(CCCC([C@@H]3CC[C@]2(O1)C)(C)C)C)C=C
"(6E,10E)-Geranyllinalool",5365872,,,C20H34O,CC(=CCC/C(=C/CC/C(=C/CCC(C)(C=C)O)/C)/C)C
"15,16-Epoxydolabrene",134814701,,,C20H32O,C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C4CO4
Dolabradiene,12309316,,,C20H32,C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C=C
"(3S,6E)-Nerolidol",5281525,,,C15H26O,CC(=CCC/C(=C/CC[C@@](C)(C=C)O)/C)C
Ursolic Acid,64945,,,C30H48O3,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
