P450 symbol,Protein name,Gene ID,Uniprot ID,EC number,Species,Species classification,Txid,Subcellular location
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP726A20,CYP726A20,105629812,A0A067LCX8,/,Jatropha curcas (Barbados nut),Plant,180498,/
CYP79A68,Tryptophan N-monooxygenase CYP79A68,103339830,A0A068Q605,1.14.14.156,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP71AN24,Phenylacetaldehyde oxime monooxygenase CYP71AN24,103337951,A0A068Q609,1.14.14.44; 1.14.14.77,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP71AN24,Phenylacetaldehyde oxime monooxygenase CYP71AN24,103337951,A0A068Q609,1.14.14.44; 1.14.14.77,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,Membrane; Single-pass membrane protein
CYP79D16,Phenylalanine N-monooxygenase CYP79D16,103330459,A0A068Q7V0,1.14.14.40,Prunus mume (Japanese apricot) (Armeniaca mume),Plant,102107,/
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
CYP72A68v1,Cytochrome P450 family 72 protein,25486774,A0A072V9E9,1.14.14.115,Medicago truncatula (Barrel medic) (Medicago tribuloides),Plant,3880,Membrane; Single-pass membrane protein
patI,Cytochrome P450 monooxygenase patI,27680976,A0A075TMP8,1.-.-.-,Penicillium expansum (Blue mold rot fungus),Microorganism,27334,Endoplasmic reticulum membrane; Single-pass membrane protein
patH,Cytochrome P450 monooxygenase patH,27680964,A0A075TRL5,1.-.-.-,Penicillium expansum (Blue mold rot fungus),Microorganism,27334,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP720B12,CYP720B12,/,A0A076U5L5,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B12,CYP720B12,/,A0A076U5L5,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B2,CYP720B2,/,A0A076UAC3,/,Pinus banksiana (Jack pine) (Pinus divaricata),Plant,3353,/
CYP720B2,CYP720B2,/,A0A076UAC3,/,Pinus banksiana (Jack pine) (Pinus divaricata),Plant,3353,Cytoplasm
CYP720B2,CYP720B2,/,A0A076UAC7,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,/
CYP720B2,CYP720B2,/,A0A076UAC7,/,Pinus contorta (Shore pine) (Lodgepole pine),Plant,3339,Cytoplasm
TleB,Cytochrome P-450,/,A0A077KEB8,/,Streptomyces blastmyceticus,Microorganism,68180,/
CYP2D7,Putative cytochrome P450 2D7,1564,A0A087X1C5,1.14.14.1,Homo sapiens (Human),Animal,9606,Membrane; Multi-pass membrane protein Cytoplasm Mitochondrion
CYP93E4,Beta-amyrin 24-hydroxylase CYP93E4,/,A0A088LHH3,/,Arachis hypogaea (Peanut),Plant,3818,/
CYP93E4,Beta-amyrin 24-hydroxylase CYP93E4,/,A0A088LHH3,/,Arachis hypogaea (Peanut),Plant,3818,/
CYP93E9,Beta-amyrin 24-hydroxylase CYP93E9,/,A0A088LHH7,/,Phaseolus vulgaris (Kidney bean) (French bean),Plant,3885,/
CYP93E9,Beta-amyrin 24-hydroxylase CYP93E9,/,A0A088LHH7,/,Phaseolus vulgaris (Kidney bean) (French bean),Plant,3885,/
CYP93E7,Beta-amyrin 24-hydroxylase CYP93E7,/,A0A088LHV2,/,Lens culinaris (Lentil) (Cicer lens),Plant,3864,/
CYP93E6,Beta-amyrin 24-hydroxylase CYP93E6,/,A0A088LIS6,/,Glycyrrhiza glabra (Licorice),Plant,49827,/
CYP93E6,Beta-amyrin 24-hydroxylase CYP93E6,/,A0A088LIS6,/,Glycyrrhiza glabra (Licorice),Plant,49827,/
CYP93E8,Beta-amyrin 24-hydroxylase CYP93E8,/,A0A088LM09,/,Pisum sativum (Garden pea),Plant,3888,/
CYP93E8,Beta-amyrin 24-hydroxylase CYP93E8,/,A0A088LM09,/,Pisum sativum (Garden pea),Plant,3888,/
CYP93E5,Beta-amyrin 24-hydroxylase CYP93E5,101495076,A0A088LUP1,/,Cicer arietinum (Chickpea) (Garbanzo),Plant,3827,/
CYP93E5,Beta-amyrin 24-hydroxylase CYP93E5,101495076,A0A088LUP1,/,Cicer arietinum (Chickpea) (Garbanzo),Plant,3827,/
CYP81Q58,Cytochrome P450,101208069,A0A097IYP1,/,Cucumis sativus (Cucumber),Plant,3659,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP71B41v2,Cytochrome P450 CYP71B41v2,/,A0A097PUC0,/,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Plant,3694,/
CYP71B40v3,Cytochrome P450 CYP71B40v3,/,A0A097PUC4,/,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Plant,3694,Membrane; Single-pass membrane protein
CYP88L2,Cytochrome P450,101207035,A0A0A0LHC2,/,Cucumis sativus (Cucumber),Plant,3659,/
CYP87D16,Beta-amyrin 16-alpha-hydroxylase CYP87D16,/,A0A0B4KZX8,1.14.14.171,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP87D16,Beta-amyrin 16-alpha-hydroxylase CYP87D16,/,A0A0B4KZX8,1.14.14.171,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP87D16,Beta-amyrin 16-alpha-hydroxylase CYP87D16,/,A0A0B4KZX8,1.14.14.171,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP87D16,Beta-amyrin 16-alpha-hydroxylase CYP87D16,/,A0A0B4KZX8,1.14.14.171,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A14v2,CYP716A14v2,/,A0A0B4L1W4,/,Artemisia annua (Sweet wormwood),Plant,35608,/
CYP716A14v2,CYP716A14v2,/,A0A0B4L1W4,/,Artemisia annua (Sweet wormwood),Plant,35608,/
CYP716A14v2,CYP716A14v2,/,A0A0B4L1W4,/,Artemisia annua (Sweet wormwood),Plant,35608,/
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Membrane; Single-pass membrane protein
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Endoplasmic reticulum membrane Microsome membrane
CYP716A75,Cytochrome P450 716A75,/,A0A0B4L1W8,1.14.14.-,Maesa lanceolata,Plant,992730,Endoplasmic reticulum membrane Microsome membrane
CYP76AH22,Ferruginol synthase 1,/,A0A0C5Q4Y6,1.14.14.-; 1.14.14.175; 1.14.14.60,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP76AH22,Ferruginol synthase 1,/,A0A0C5Q4Y6,1.14.14.-; 1.14.14.175; 1.14.14.60,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP76AH24,Ferruginol synthase,/,A0A0C5QRZ2,1.14.14.-; 1.14.14.175; 1.14.14.60,Salvia fruticosa (Greek sage),Plant,268906,Membrane; Single-pass membrane protein
CYP76AH24,Ferruginol synthase,/,A0A0C5QRZ2,1.14.14.-; 1.14.14.175; 1.14.14.60,Salvia fruticosa (Greek sage),Plant,268906,Membrane; Single-pass membrane protein
bet2,Cytochrome P450 monooxygenase bet2,/,A0A0C6DUU3,1.-.-.-,Neocamarosporium betae (Beet black rot fungus) (Pleospora betae),Plant,1979465,Membrane; Single-pass membrane protein
bet2,Cytochrome P450 monooxygenase bet2,/,A0A0C6DUU3,1.-.-.-,Neocamarosporium betae (Beet black rot fungus) (Pleospora betae),Plant,1979465,Membrane; Single-pass membrane protein
CYP53A19,Benzoate 4-monooxygenase,28946962,A0A0D2XLX8,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
CYP53A19,Benzoate 4-monooxygenase,28946962,A0A0D2XLX8,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
CYP53A19,Benzoate 4-monooxygenase,28946962,A0A0D2XLX8,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
CYP655C2,Cytochrome P450,28955739,A0A0D2YE57,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
CYP655C2,Cytochrome P450,28955739,A0A0D2YE57,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
CYP655C2,Cytochrome P450,28955739,A0A0D2YE57,/,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),Microorganism,426428,/
PsCYP51,Cytochrome monooxygenase like,/,A0A0E3VN01,/,Pisum sativum (Garden pea),Plant,3888,/
CYP90B27v2,CYP90B27v2,/,A0A0F6PLP0,/,Veratrum californicum,Plant,50242,/
CYP90G1v1,CYP90G1v1,/,A0A0F6PLP5,/,Veratrum californicum,Plant,50242,/
CYP94N1v1,CYP94N1v1,/,A0A0F6PMK0,/,Veratrum californicum,Plant,50242,/
CYP90B27,CYP90B27v1,/,A0A0F6PML0,/,Veratrum californicum,Plant,50242,/
CYP90B27,CYP90B27v1,/,A0A0F6PML0,/,Veratrum californicum,Plant,50242,/
CYP94N1,CYP94N1v2,/,A0A0F6PMN1,/,Veratrum californicum,Plant,50242,/
CYP94N1,CYP94N1v2,/,A0A0F6PMN1,/,Veratrum californicum,Plant,50242,Membrane; Single-pass membrane protein
CYP90G1,CYP90G1v3,/,A0A0F6PMN4,/,Veratrum californicum,Plant,50242,Mitochondrion inner membrane; Peripheral membrane protein
CYP90G1,CYP90G1v3,/,A0A0F6PMN4,/,Veratrum californicum,Plant,50242,/
CYP90G1,CYP90G1v3,/,A0A0F6PMN4,/,Veratrum californicum,Plant,50242,/
CYP90G1,CYP90G1v3,/,A0A0F6PMN4,/,Veratrum californicum,Plant,50242,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP90G1,CYP90G1v3,/,A0A0F6PMN4,/,Veratrum californicum,Plant,50242,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP90G1v2,CYP90G1v2,/,A0A0F6PMS4,/,Veratrum californicum,Plant,50242,Mitochondrion inner membrane; Peripheral membrane protein
CYP750B1,(+)-sabinene-3-hydroxylase,/,A0A0F7KN88,/,Thuja plicata (Western red-cedar) (Giant arborvitae),Plant,3316,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP76AA,Cytochrome P450 CYP76AA25,/,A0A0F7KQD6,/,Thuja plicata (Western red-cedar) (Giant arborvitae),Plant,3316,/
CYP701A40,Ent-kaurene oxidase,/,A0A0G2RKY1,1.14.14.86,Salvia miltiorrhiza (Chinese sage),Plant,226208,"Plastid, chloroplast outer membrane; Single-pass membrane protein"
CYPCHX,Cytochrome 450 cyclohexane monooxygenase,/,A0A0G3FKE8,/,Acidovorax sp. CHX100,Microorganism,1651872,/
CYPCHX,Cytochrome 450 cyclohexane monooxygenase,/,A0A0G3FKE8,/,Acidovorax sp. CHX100,Microorganism,1651872,/
CYPCHX,Cytochrome 450 cyclohexane monooxygenase,/,A0A0G3FKE8,/,Acidovorax sp. CHX100,Microorganism,1651872,/
CYPCHX,Cytochrome 450 cyclohexane monooxygenase,/,A0A0G3FKE8,/,Acidovorax sp. CHX100,Microorganism,1651872,/
CYP116B46,Cytochrome P450,/,A0A0K6ITW2,/,Tepidiphilus thermophilus,Microorganism,876478,/
CYP71D443,Cytochrome P450,/,A0A0M4U0E0,/,Ajuga reptans (Bugle),Plant,38596,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP82D61,Demethylepipodophyllotoxin synthase,/,A0A0N7F297,1.14.14.132,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),Plant,93608,Membrane; Single-pass membrane protein
desC,Bicoumarin synthase desC,/,A0A0N9HKQ7,1.14.-.-,Aspergillus desertorum (Emericella desertorum),Plant,1810909,Membrane; Single-pass membrane protein
CYP71BE54,Desmethyl-deoxy-podophyllotoxin synthase,/,A0A0N9HT29,1.14.14.-,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),Plant,93608,Membrane; Single-pass membrane protein
CYP71CU1,Desmethylyatein synthase,/,A0A0N9HTU1,1.14.14.131,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),Plant,93608,Membrane; Single-pass membrane protein
CYP76AH24,Ferruginol synthase,/,A0A0S1TP26,1.14.14.-; 1.14.14.175; 1.14.14.60,Salvia pomifera (Apple sage),Plant,396869,Membrane; Single-pass membrane protein
CYP76AH24,Ferruginol synthase,/,A0A0S1TP26,1.14.14.-; 1.14.14.175; 1.14.14.60,Salvia pomifera (Apple sage),Plant,396869,Membrane; Single-pass membrane protein
CYP76AK6,Carnosic acid synthase,/,A0A0S1TPC7,1.14.14.-; 1.14.14.61,Salvia pomifera (Apple sage),Plant,396869,Membrane; Single-pass membrane protein
CYP71BE52,Salviol synthase,/,A0A0S1TQ04,1.14.14.62,Salvia pomifera (Apple sage),Plant,396869,Membrane; Single-pass membrane protein
CYP72A397,Cytochrome P450 72A397,/,A0A0S2IHL2,1.14.14.-,Kalopanax septemlobus (Castor aralia) (Acanthopanax septemlobus),Plant,228393,Membrane; Single-pass membrane protein
CYP716A94,Beta-amyrin 28-monooxygenase,/,A0A0S2II38,1.14.14.126,Kalopanax septemlobus (Castor aralia) (Acanthopanax septemlobus),Plant,228393,Membrane; Single-pass membrane protein
CYP76AD1,CYP76AD6,/,A0A0U1YJA0,/,Beta vulgaris (Sugar beet),Plant,161934,/
CYP716A80,CYP716A80,/,A0A0U2TQ31,/,Barbarea vulgaris subsp. arcuata,Plant,767412,/
CYP716A80,CYP716A80,/,A0A0U2TQ31,/,Barbarea vulgaris subsp. arcuata,Plant,767412,/
CYP716A80,CYP716A80,/,A0A0U2TQ31,/,Barbarea vulgaris subsp. arcuata,Plant,767412,/
CYP716A80,CYP716A80,/,A0A0U2TQ31,/,Barbarea vulgaris subsp. arcuata,Plant,767412,/
CYP716A81,Beta-amyrin 28-monooxygenase,/,A0A0U2U8U5,1.14.14.126,Barbarea vulgaris (Yellow rocket) (Erysimum barbarea),Plant,50459,Membrane; Single-pass membrane protein
CYP716A81,Beta-amyrin 28-monooxygenase,/,A0A0U2U8U5,1.14.14.126,Barbarea vulgaris (Yellow rocket) (Erysimum barbarea),Plant,50459,Membrane; Single-pass membrane protein
CYP716A81,Beta-amyrin 28-monooxygenase,/,A0A0U2U8U5,1.14.14.126,Barbarea vulgaris (Yellow rocket) (Erysimum barbarea),Plant,50459,Membrane; Single-pass membrane protein
CYP716A81,Beta-amyrin 28-monooxygenase,/,A0A0U2U8U5,1.14.14.126,Barbarea vulgaris (Yellow rocket) (Erysimum barbarea),Plant,50459,Membrane; Single-pass membrane protein
CYP716A81,Beta-amyrin 28-monooxygenase,/,A0A0U2U8U5,1.14.14.126,Barbarea vulgaris (Yellow rocket) (Erysimum barbarea),Plant,50459,Membrane; Single-pass membrane protein
CYP76AH3,Sugiol synthase,/,A0A0Y0GRS3,1.14.14.60; 1.14.14.65,Salvia miltiorrhiza (Chinese sage),Plant,226208,Membrane; Single-pass membrane protein
CYP76AH3,Sugiol synthase,/,A0A0Y0GRS3,1.14.14.60; 1.14.14.65,Salvia miltiorrhiza (Chinese sage),Plant,226208,Membrane; Single-pass membrane protein
CYP76AH3,Sugiol synthase,/,A0A0Y0GRS3,1.14.14.60; 1.14.14.65,Salvia miltiorrhiza (Chinese sage),Plant,226208,Membrane; Single-pass membrane protein
CYP76AK1,11-hydroxysugiol 20-monooxygenase,/,A0A125QZE2,1.14.14.67,Salvia miltiorrhiza (Chinese sage),Plant,226208,Mitochondrion inner membrane; Peripheral membrane protein
CYP76AK1,11-hydroxysugiol 20-monooxygenase,/,A0A125QZE2,1.14.14.67,Salvia miltiorrhiza (Chinese sage),Plant,226208,Membrane; Single-pass membrane protein
Cyp96T1,Noroxomaritidine synthase,/,A0A140IL90,1.14.19.50,Narcissus aff. pseudonarcissus MK-2014 (Daffodil),Plant,1540222,Membrane; Single-pass membrane protein
Cyp96T1,Noroxomaritidine synthase,/,A0A140IL90,1.14.19.50,Narcissus aff. pseudonarcissus MK-2014 (Daffodil),Plant,1540222,Membrane; Single-pass membrane protein
CYP71AT96,Cytochrome P450 71AT96,/,A0A140JTH9,/,Fallopia sachalinensis,Plant,76036,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP716A2,Cytochrome P450 716A2,833611,A0A140JWM8,1.14.-.-,Arabidopsis thaliana (Mouse-ear cress),Plant,3702,Membrane; Single-pass membrane protein
CYP736A167,CYP736A167,/,A0A142I6X1,/,Santalum album (White sandalwood),Plant,35974,/
CYP736A167,CYP736A167,/,A0A142I6X1,/,Santalum album (White sandalwood),Plant,35974,/
CYP736A167,CYP736A167,/,A0A142I6X1,/,Santalum album (White sandalwood),Plant,35974,/
CYP736A167,CYP736A167,/,A0A142I6X1,/,Santalum album (White sandalwood),Plant,35974,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A253,Cytochrome P450,/,A0A161ABB0,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP716A252,Cytochrome P450,/,A0A161ABI1,/,Ocimum basilicum (Sweet basil),Plant,39350,/
CYP81AA2,"1,3,5-trihydroxyxanthone synthase",/,A0A161I263,/,Hypericum perforatum (St. John's wort),Plant,65561,/
CYP81AA1,"1,3,7-trihydroxyxanthone synthase",/,A0A168GPG9,/,Hypericum perforatum (St. John's wort),Plant,65561,Membrane; Single-pass membrane protein
CYP72A208,Steroid C-26 oxygenase,/,A0A193PE91,/,Solanum tuberosum (Potato),Plant,4113,/
CYP76AH15,Cytochrome P450 CYP76AH15,/,A0A1B0VRQ0,/,Plectranthus barbatus,Plant,41228,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP76AH15,Cytochrome P450 CYP76AH15,/,A0A1B0VRQ0,/,Plectranthus barbatus,Plant,41228,Microsome membrane; Peripheral membrane protein Endoplasmic reticulum membrane; Peripheral membrane protein
CYP716A78,Beta-amyrin C28-oxidase,/,A0A1B2AS12,/,Chenopodium quinoa (Quinoa),Plant,63459,/
CYP716A78,Beta-amyrin C28-oxidase,/,A0A1B2AS12,/,Chenopodium quinoa (Quinoa),Plant,63459,/
CYP716A79,Beta-amyrin C28-oxidase,/,A0A1B2AS18,/,Chenopodium quinoa (Quinoa),Plant,63459,/
CYP716A79,Beta-amyrin C28-oxidase,/,A0A1B2AS18,/,Chenopodium quinoa (Quinoa),Plant,63459,/
CYP92C6,Trimethyltridecatetraene synthase,100279968,A0A1D6F9Y9,1.14.14.58,Zea mays (Maize),Plant,4577,Membrane
CYP71Z16,Dolabradiene monooxygenase,/,A0A1D6GQ67,1.14.14.159,Zea mays (Maize),Plant,4577,/
CYP71Z16,Dolabradiene monooxygenase,/,A0A1D6GQ67,1.14.14.159,Zea mays (Maize),Plant,4577,Membrane; Single-pass membrane protein
CYP92C5,Dimethylnonatriene synthase,103631958,A0A1D6HSP4,1.14.14.58; 1.14.14.59,Zea mays (Maize),Plant,4577,/
CYP92C5,Dimethylnonatriene synthase,103631958,A0A1D6HSP4,1.14.14.58; 1.14.14.59,Zea mays (Maize),Plant,4577,Membrane; Single-pass membrane protein
CYP76AK6,Carnosic acid synthase,/,A0A1D8QMD1,1.14.14.-; 1.14.14.61,Salvia fruticosa (Greek sage),Plant,268906,Membrane; Single-pass membrane protein
CYP76AK7,Carnosic acid synthase,/,A0A1D8QMD2,1.14.14.-; 1.14.14.61,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP76AK8,Carnosic acid synthase,/,A0A1D8QMG4,1.14.14.-; 1.14.14.61,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP76AK8,Carnosic acid synthase,/,A0A1D8QMG4,1.14.14.-; 1.14.14.61,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP76AK8,Carnosic acid synthase,/,A0A1D8QMG4,1.14.14.-; 1.14.14.61,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,Membrane; Single-pass membrane protein
CYP716A86,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y3,/,Centella asiatica,Plant,48106,/
CYP716A86,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y3,/,Centella asiatica,Plant,48106,/
CYP716A86,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y3,/,Centella asiatica,Plant,48106,/
CYP716A86,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y3,/,Centella asiatica,Plant,48106,/
CYP716A83,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y4,/,Centella asiatica,Plant,48106,/
CYP716A83,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y4,/,Centella asiatica,Plant,48106,/
CYP716A83,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y4,/,Centella asiatica,Plant,48106,/
CYP716A83,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y4,/,Centella asiatica,Plant,48106,/
CYP716A83,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y4,/,Centella asiatica,Plant,48106,/
CYP716E41,Oleanolic acid 6-beta-oxidase,/,A0A1I9Q5Y6,/,Centella asiatica,Plant,48106,/
CYP716E41,Oleanolic acid 6-beta-oxidase,/,A0A1I9Q5Y6,/,Centella asiatica,Plant,48106,/
CYP716E41,Oleanolic acid 6-beta-oxidase,/,A0A1I9Q5Y6,/,Centella asiatica,Plant,48106,/
CYP716C11,Oleanolic acid 2-alpha-oxidase,/,A0A1I9Q5Y7,/,Centella asiatica,Plant,48106,/
CYP716C11,Oleanolic acid 2-alpha-oxidase,/,A0A1I9Q5Y7,/,Centella asiatica,Plant,48106,/
CYP716C11,Oleanolic acid 2-alpha-oxidase,/,A0A1I9Q5Y7,/,Centella asiatica,Plant,48106,/
CYP716A140,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y8,/,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,/
CYP716A140,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y8,/,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,/
CYP716A140,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y8,/,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A140,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y8,/,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A140,Beta-amyrin 28-oxidase,/,A0A1I9Q5Y8,/,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A141,Beta-amyrin 16-beta-monooxygenase,/,A0A1I9Q5Z0,1.14.14.63,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A141,Beta-amyrin 16-beta-monooxygenase,/,A0A1I9Q5Z0,1.14.14.63,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A141,Beta-amyrin 16-beta-monooxygenase,/,A0A1I9Q5Z0,1.14.14.63,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A141,Beta-amyrin 16-beta-monooxygenase,/,A0A1I9Q5Z0,1.14.14.63,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
CYP716A141,Beta-amyrin 16-beta-monooxygenase,/,A0A1I9Q5Z0,1.14.14.63,Platycodon grandiflorus (Balloon flower) (Campanula grandiflora),Plant,94286,Membrane; Single-pass membrane protein
