substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
341,122499529,1,10,,DTGWOPDEMQCUJN-UHFFFAOYSA-N,19,4,1
342,5280934,1,10,,DTOSIQBPPRVQHS-PDBXOOCHSA-N,20,13,1
343,860,1,10,,DTOSIQBPPRVQHS-UHFFFAOYSA-N,20,13,1
344,15586712,1,6,,DUEINKIQNGZKPL-VYJAJWGXSA-N,21,2,1
345,7590,1,10,,DULCUDSUACXJJC-UHFFFAOYSA-N,12,4,1
346,90658967,1,10,,DULGJEIWRQIEDP-UHFFFAOYSA-M,22,0,1
347,23335,1,1,,DUSFBAYEYGRYOT-CYBMUJFWSA-N,20,1,1
348,13743810,1,4,,DVBSKQAFCDJNSL-RBSFLKMASA-N,15,1,1
349,62275,1,1,,DVCCCQNKIYNAKB-UHFFFAOYSA-N,16,0,1
350,,1,,,,,,
351,,1,,,,,,
352,126584111,1,10,,DWNJWMJYUWZSAA-UHFFFAOYSA-N,18,3,1
353,22298935,1,10,,DWVYYKFZEDMMPU-PUXRVUTHSA-N,32,5,1
354,58615747,1,10,,DXCYGSQDXRDESW-HLIPFELVSA-N,22,3,1
355,417183,1,10,,DXGNDDYTXLSPCE-UHFFFAOYSA-N,15,4,1
356,20849233,1,10,,DXOYQVHGIODESM-KROJNAHFSA-M,23,13,1
357,71448973,1,4,,DYQFFTPJVWEYMH-HNNXBMFYSA-N,15,1,1
358,122499619,1,10,,DYQTZBWBOLGSHU-UHFFFAOYSA-N,19,4,1
359,126583943,1,10,,DYSNCCZUOCWBMA-UHFFFAOYSA-N,17,3,1
360,13461289,1,3,,DZAPYOAIROMSAL-UHFFFAOYSA-N,10,1,1
361,5282032,1,9,,DZGHWPQKGWXOHD-NHLONWFASA-N,32,4,1
362,10062748,1,9,,DZGHWPQKGWXOHD-OYZFACIPSA-N,32,4,1
363,2002,1,10,,DZTHIGRZJZPRDV-UHFFFAOYSA-N,18,4,1
364,104361,1,3,,FABOBEOYNMHSHB-UAWZMHPWSA-N,35,2,1
365,14056077,1,0,,FADCOUQPHXGWQS-UHFFFAOYSA-N,30,5,1
366,11815433,1,4,,FAMJUFMHYAFYNU-SNVBAGLBSA-N,10,1,1
367,21671,1,2,,FAMJUFMHYAFYNU-UHFFFAOYSA-N,10,1,1
368,5281520,1,1,,FAMPSKZZVDUYOS-HRGUGZIWSA-N,15,0,1
369,82665252,1,10,,FARGCFGSMZJAQQ-UHFFFAOYSA-N,17,3,1
370,12005,1,1,,FAXWFCTVSHEODL-UHFFFAOYSA-N,9,0,1
371,122499670,1,10,,FBAOCWFKUDSEPU-UHFFFAOYSA-N,23,4,1
372,15939655,1,3,,FBSBGGJQVUYUDB-ZLDLUXBVSA-N,15,0,1
373,86583477,1,10,,FBUKMFOXMZRGRB-YFHOEESVSA-M,21,13,1
374,8158,1,10,,FBUKVWPVBMHYJY-UHFFFAOYSA-N,11,7,1
375,57370983,1,10,,FBWIRBFZWNIGJC-LURJTMIESA-N,11,6,1
376,228215,1,10,,FBWIRBFZWNIGJC-UHFFFAOYSA-N,11,6,1
377,,1,,,,,,
378,5283748,1,8,,FCKJYANJHNLEEP-XRWYNYHCSA-N,30,6,1
379,10514699,1,10,,FCRACOPGPMPSHN-NTUGQGQXSA-N,18,3,1
380,486207,1,0,,FCVASHHBGGKTGT-IBGZPJMESA-N,26,19,1
381,440585,1,10,,FDABVSXGAMFQQH-XZWHSSHBSA-N,44,8,1
382,734154,1,6,,FEGVSPGUHMGGBO-VOTSOKGWSA-N,13,3,1
383,99615,1,1,,FELCJAPFJOPHSD-ROUWMTJPSA-N,32,2,1
384,13042283,1,8,,FERSDKADYZRIAA-CQGKBTLCSA-N,41,6,1
385,735250,1,4,,FFKGOJWPSXRALK-SNAWJCMRSA-N,12,2,1
386,74975004,1,10,,FFZIAIOSZGCLBS-UHFFFAOYSA-N,29,6,1
387,442399,1,5,,FGCUSSRGQNHZRW-UMVBOHGHSA-N,16,1,1
388,5478031,1,0,,FHJXKTOXQHRDTL-GXDHUFHOSA-N,26,2,1
389,102093872,1,2,,FHJXKTOXQHRDTL-PSWVRJCXSA-N,26,2,1
390,280283,1,10,,FHNYYRUKKWUYDN-UHFFFAOYSA-N,21,6,1
391,102023289,1,10,,FHSVMYDBGPVTTJ-RXZLMXHMSA-N,30,5,1
392,102023287,1,10,,FHSVMYDBGPVTTJ-ZYHYDSQVSA-N,30,5,1
393,65259,1,10,,FICLVQOYKYBXFN-UHFFFAOYSA-N,16,3,1
394,5316525,1,10,,FIDUIAPDSKSUGO-UHFFFAOYSA-N,17,2,1
395,153062,1,2,,FIGOELDBJCFALR-UHFFFAOYSA-N,18,3,1
396,736862,1,2,,FISAUHGRILVMDP-UHFFFAOYSA-N,14,2,1
397,134716636,1,10,,FITVEUXUZLYLPG-CYBMUJFWSA-N,16,2,1
398,168027,1,1,,FIWXXQWEVIQSAB-UYXSQOIJSA-N,12,1,1
399,122499540,1,10,,FJGSKMYFKQXYND-UHFFFAOYSA-N,18,3,1
400,4174,1,10,,FJLBFSROUSIWMA-UHFFFAOYSA-N,17,3,1
401,129011756,1,5,,FJOUYKHTSXWRMH-UEDXYCIISA-O,27,2,1
402,47289,1,10,,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,15,5,1
403,74431846,1,10,,FLHDTNWRXMTPMP-UHFFFAOYSA-N,17,4,1
404,15081535,1,8,,FLRPNSKUGCVRRB-IINKENNYSA-N,28,5,1
405,573153,1,5,,FLRUNCJXOVYWDH-UHFFFAOYSA-N,10,2,1
406,122499621,1,9,,FLTNSCRFKHZCES-UHFFFAOYSA-N,22,4,1
407,168007609,1,10,,FLUVBAXFCMTFEM-VAPIERHISA-N,33,6,1
408,576244,1,10,,FLZUYXUBDVKWPO-UHFFFAOYSA-N,13,3,1
409,122499550,1,10,,FMBGDBPQICJCMI-UHFFFAOYSA-N,22,4,1
410,15341631,1,7,,FMFAICDKESPFNH-NQMBQAPESA-N,30,5,1
