uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
I3QBP4,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
I3V6B7,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
L7T720,Podophyllum peltatum (American mandrake),35933,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Podophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
L7T8H2,Sinopodophyllum hexandrum (Himalayan may apple) (Podophyllum hexandrum),93608,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Podophylloideae (subfamily), Podophylleae (tribe), Sinopodophyllum (genus)",Plants_BIA,Ranunculales/BIA-producing,True
L7X0L7,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
O64900,Eschscholzia californica (California poppy),3467,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Eschscholzia (genus)",Plants_BIA,Ranunculales/BIA-producing,True
P0DKI7,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
P47195,Berberis stolonifera (Barberry),33814,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Berberidaceae (family), Berberidoideae (subfamily), Berberideae (tribe), Berberis (genus)",Plants_BIA,Ranunculales/BIA-producing,True
Q50LH4,Eschscholzia californica (California poppy),3467,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Eschscholzia (genus)",Plants_BIA,Ranunculales/BIA-producing,True
Q52YL8,Delphinium grandiflorum (Siberian larkspur) (Delphinium sinense),85439,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Ranunculaceae (family), Ranunculoideae (subfamily), Delphinieae (tribe), Delphinium (genus)",Plants_BIA,Ranunculales/BIA-producing,True
Q9SP06,Papaver somniferum (Opium poppy),3469,"cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Ranunculales (order), Papaveraceae (family), Papaveroideae (subfamily), Papaver (genus)",Plants_BIA,Ranunculales/BIA-producing,True
