doi,pmid,title,cyps_affected,cyp_names,url
https://doi.org/10.1016/j.plantsci.2016.05.015,27457995,1. Plant Sci. 2016 Sep;250:188-197. doi: 10.1016/j.plantsci.2016.05.015. Epub 2016  Jun 3.,2,CYP716A78; CYP716A79,https://doi.org/10.1016/j.plantsci.2016.05.015
https://doi.org/10.1016/j.ymben.2014.03.005,24704560,1. Metab Eng. 2014 May;23:145-53. doi: 10.1016/j.ymben.2014.03.005. Epub 2014 Apr,2,CYP71CA1; CYP71CB1,https://doi.org/10.1016/j.ymben.2014.03.005
https://doi.org/10.1038/NPLANTS.2016.183,27892922,1. Nat Plants. 2016 Nov 28;2:16183. doi: 10.1038/nplants.2016.183.,2,Cm180; Cl180,https://doi.org/10.1038/NPLANTS.2016.183
https://doi.org/10.1038/nbt1173,16369540,1. Nat Biotechnol. 2006 Jan;24(1):105-9. doi: 10.1038/nbt1173. Epub 2005 Dec 20.,2,CYP90B2; CYP724B1,https://doi.org/10.1038/nbt1173
https://doi.org/10.1111/tpj.17199,39642193,1. Plant J. 2025 Jan;121(2):e17199. doi: 10.1111/tpj.17199. Epub 2024 Dec 6.,2,CYP71AX30; CYP71BL7,https://doi.org/10.1111/tpj.17199
https://doi.org/10.1126/science.1174095,19779199,1. Science. 2009 Sep 25;325(5948):1688-92. doi: 10.1126/science.1174095.,2,CYP98A8; CYP98A9,https://doi.org/10.1126/science.1174095
https://doi.org/10.1126/science.1259215,25430763,1. Science. 2014 Nov 28;346(6213):1084-8. doi: 10.1126/science.1259215.,2,CYP81Q58; CYP88L2,https://doi.org/10.1126/science.1259215
https://doi.org/10.1038/366276a0,8232589,1. Nature. 1993 Nov 18;366(6452):276-9. doi: 10.1038/366276a0.,2,CYP75A1; CYP75A3,https://doi.org/10.1038/366276a0
https://doi.org/10.1046/j.1365-313X.2003.01893.x,14617078,1. Plant J. 2003 Nov;36(4):471-84. doi: 10.1046/j.1365-313x.2003.01893.x.,2,CYP81E7; CYP81E9,https://doi.org/10.1046/j.1365-313X.2003.01893.x
https://doi.org/10.1093/pcp/pcl003,16943219,1. Plant Cell Physiol. 2006 Oct;47(10):1412-9. doi: 10.1093/pcp/pcl003. Epub 2006 Aug 30.,2,Sb F3'H1; Sb F3'H2,https://doi.org/10.1093/pcp/pcl003
https://doi.org/10.1093/pcp/pcr146,22039103,1. Plant Cell Physiol. 2011 Dec;52(12):2050-61. doi: 10.1093/pcp/pcr146. Epub 2011  Oct 28.,2,CYP716A15; CYP716A17,https://doi.org/10.1093/pcp/pcr146
https://doi.org/10.1111/nph.14139,27560385,1. New Phytol. 2017 Jan;213(1):264-274. doi: 10.1111/nph.14139. Epub 2016 Aug 25.,2,CYP76F12; CYP76T21,https://doi.org/10.1111/nph.14139
https://doi.org/10.1111/tpj.13012,26333142,1. Plant J. 2015 Nov;84(3):478-90. doi: 10.1111/tpj.13012.,2,CYP716A80; CYP716A81,https://doi.org/10.1111/tpj.13012
https://doi.org/10.1111/tpj.15604,34816537,1. Plant J. 2022 Feb;109(4):940-951. doi: 10.1111/tpj.15604. Epub 2021 Dec 7.,2,CYP94D143; CYP94N8,https://doi.org/10.1111/tpj.15604
https://doi.org/10.1006/abbi.2000.1867,10864454,1. Arch Biochem Biophys. 2000 Jul 1;379(1):161-9. doi: 10.1006/abbi.2000.1867.,1,CYP73A17,https://doi.org/10.1006/abbi.2000.1867
https://doi.org/10.1007/s00425-008-0806-1,18726614,1. Planta. 2008 Nov;228(6):1043-54. doi: 10.1007/s00425-008-0806-1. Epub 2008 Aug,1,Os F3'H,https://doi.org/10.1007/s00425-008-0806-1
https://doi.org/10.1007/s00425-019-03332-x,31907631,1. Planta. 2020 Jan 6;251(2):40. doi: 10.1007/s00425-019-03332-x.,1,CYP722C,https://doi.org/10.1007/s00425-019-03332-x
https://doi.org/10.1007/s11103-010-9663-y,20669042,1. Plant Mol Biol. 2010 Sep;74(1-2):167-81. doi: 10.1007/s11103-010-9663-y. Epub 2010 Jul 30.,1,CYP72C1,https://doi.org/10.1007/s11103-010-9663-y
