name,n_total,n_pos,n_neg,prevalence,auc_roc,auc_roc_ci_lo,auc_roc_ci_hi,auc_pr,auc_pr_ci_lo,auc_pr_ci_hi,accuracy_insample,precision_insample,recall_insample,f1_insample,optimal_threshold_insample,score_mean_pos,score_mean_neg,score_separation
"Step 5 (Random neg, Vina)",2766,265,2501,0.09580621836587129,0.517001501286278,0.48037879222724555,0.5521377612163266,0.11163181809593789,0.09263851603616015,0.13892107174700113,0.695589298626175,0.11275167785234899,0.3169811320754717,0.16633663366336635,-1.1502678,-2.9368975487924525,-3.2016870764846064,0.2647895276921539
"EXP01 (Inhibitor neg, Crystal)",495,267,228,0.5393939393939394,0.7115447795518759,0.6657339270801607,0.756905720012266,0.7355542340494808,0.6776538250066587,0.792814489787205,0.6686868686868687,0.6677524429967426,0.7677902621722846,0.7142857142857143,-4.6171627,-3.0017232360411983,-5.514363340495615,2.512640104454417
