Substrate_Index,Substrate_SMILES
302,Cc1cc(O)ccc1C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O
303,Cc1cc(O)cc(C)c1C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O
304,Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)cc(C)c1O
305,O=C1N[C@@H](Cc2ccc(O)c(F)c2)C(=O)N[C@H]1Cc1ccc(O)cc1
306,O=C1N[C@@H](Cc2ccc(O)c(I)c2)C(=O)N[C@H]1Cc1ccc(O)cc1
307,O=C1N[C@@H](Cc2ccc(O)c(Br)c2)C(=O)N[C@H]1Cc1ccc(O)cc1
308,O=C1N[C@@H](Cc2ccc(O)c(Cl)c2)C(=O)N[C@H]1Cc1ccc(O)cc1
309,C#Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)ccc1O
310,C=C[C@H](c1ccc(-c2ccc(O)c(Cl)c2)cc1)n1ccnc1
311,Fc1ccc(-c2ccc(/C=C/Cn3ccnc3)cc2)cc1
312,FC(F)(F)c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
313,COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)cc1
314,O=C1N[C@@H](Cc2ccc(OCO)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1
315,c1ccc2c(CCc3ccncn3)c[nH]c2c1
316,c1ccc2c(CCc3ccnc(N4CCOCC4)n3)c[nH]c2c1
317,Brc1ccc2[nH]cc(CCc3ccnc(N4CCOCC4)n3)c2c1
318,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
319,CC[C@@H](C(=O)Nc1ccncc1)c1ccccc1
320,O=C(Nc1ccncc1)[C@@H](NS(=O)(=O)c1cccc2nsnc12)c1ccccc1
321,O=C(c1ccc(O)cc1)c1ccc(O)cc1
322,CSCC[C@H](NC(=O)C1CCC(C)CC1)C(=O)Nc1ccncc1
323,CC(C)[C@H](NC(=O)C1CCCCC1)C(=O)Nc1ccncc1
324,Cc1ccc(S(=O)(=O)NCCCOC(=O)Nc2ccncc2)cc1
325,Nc1cc2ccccc2c2ccccc12
326,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
327,COc1ccc(C(=O)O)cc1
328,CCc1ccc(C(=O)O)cc1
329,COc1ccc(C(=O)O)cc1OC
330,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
331,c1ccc2[nH]ccc2c1
332,CN(CCCC(=O)c1cccnc1)N=O
333,CC(=O)/C=C/C1=C(C)CCCC1(C)C
334,O=C(O)c1ccc2cc[nH]c2c1
335,O=C(O)c1ccc2ccccc2c1
336,CC(C)c1ccc(C(=O)O)cc1
337,CCOc1ccc(C(=O)O)cc1
338,CNc1ccc(C(=O)O)cc1
339,O=C(O)c1ccc(C2CC2)cc1
340,CCCCCCCc1ccc(C(=O)O)cc1
341,O=C(O)c1ccc(-c2ccsc2)cc1
342,COc1cccc(C(=O)O)c1
343,CSc1cccc(C(=O)O)c1
344,Cc1ccc(C(=O)O)cc1
345,Cc1cccc(C(=O)O)c1
346,CNc1cccc(C(=O)O)c1
347,CCOc1cccc(C(=O)O)c1
348,O=C(O)c1ccc(-c2cccnc2)cc1
349,O=C(O)c1ccc(-n2ccnc2)cc1
350,COc1ccc(/C=C/C(=O)O)cc1
351,CC(C)Cc1ccc(C(=O)O)cc1
352,C=Cc1ccc(C(=O)O)cc1
353,O=C(O)c1ccc(-c2ccccc2)cc1
354,COc1cccc(-c2ccc(C(=O)O)cc2)c1
355,O=C(O)c1ccc(-n2cncn2)cc1
356,CCCc1ccc(C(=O)O)cc1
357,O=C(O)c1ccc(Oc2ccccc2)cc1
358,O=C(O)c1ccc(C2CCCCC2)cc1
359,CCSc1ccc(C(=O)O)cc1
360,CSc1ccc(C(=O)O)cc1
361,O=C(O)c1ccc(-c2ccco2)cc1
362,O=C(O)c1ccc(-c2cccs2)cc1
363,O=C(O)c1ccc(I)cc1
364,O=C(O)c1ccc(F)cc1
365,O=C(O)c1ccc(Cl)cc1
366,O=C(O)c1ccc(CCl)cc1
367,O=C(O)c1ccc(CCBr)cc1
368,O=C(O)c1ccc(CCCl)cc1
369,O=C(O)c1ccc(C(=O)c2ccccc2)cc1
370,CCCCc1ccc(C(=O)O)cc1
371,CC(=O)[C@@](C)(O)c1ccc(C(=O)O)cc1
372,COc1ccc(C(=O)O)cc1O
373,O=C(O)c1ccc(-c2ccccn2)cc1
374,O=C(O)c1ccc(Cc2ccccc2)cc1
375,CCC(=O)c1ccc(C(=O)O)cc1
376,CC(=O)Cc1ccc(C(=O)O)cc1
377,O=C(O)c1ccc(OC(F)(F)F)cc1
378,O=C(O)c1ccc(O)cc1
379,O=C(O)c1ccc(CO)cc1
380,CC(C)(C)c1ccc(C(=O)O)cc1
381,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C=C3CC3)C3=CC[C@@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
382,CO[C@](c1ccc(Cl)cc1)(c1ccc2c(c1)c(-c1c(F)cccc1F)cc(=O)n2C)c1cncn1C
383,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F
384,O=C(N[C@@H](Cn1cncn1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1
385,O=C(N[C@@H](Cn1ccnc1)c1ccc(-c2ccc(F)cc2)cc1F)c1ccc(-c2nnc(-c3ccccc3)o2)cc1
386,CCCCC[C@H](O)/C=C/C=C/CCCCCCCC(=O)O
387,Brc1ccc(-c2c[nH]cn2)cc1
388,Fc1ccc(-c2c[nH]cn2)cc1
389,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C=C/[C@]1(O)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
390,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
391,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
392,C[C@@H]1[C@@H](O)[C@@H](C)C[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@H]1O
393,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
394,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
395,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
396,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2
397,COc1ccc([C@](O)(c2cncnc2)C2CC2)cc1
398,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CC[C@@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)c1=O
399,O=C([C@@H](c1ccc(Cl)cc1)c1cccnc1)N1CCN(c2ccc(C(F)(F)F)cc2)CC1
400,FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1
401,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cc(F)ccc2F)cc1F
402,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(F)cc3F)CC2)cc1F
403,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1F
404,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(Cl)cc3)CC2)cc1F
405,O=C(Nc1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)CC2)cc1)O[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl
406,CC(C)c1ccc(NC(=O)O[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1
407,CC(C)c1ccc(NC(=O)O[C@H](Cn2ccnc2)c2ccc(F)cc2)cc1
408,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(S(=O)(=O)c3cccs3)CC2)cc1F
409,Cc1cc(Oc2cccc(Cn3ccnc3)c2)cc(C)c1Cl
410,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(F)c(F)c3)CC2)cc1F
411,Cc1ccc(Cl)cc1N1CCN(c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)CC1
412,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)[C@H](O)/C=C/C=C/[C@@H]1C
413,Cc1ccc(OP(=O)(O)O)cc1
414,CCc1ccc(OP(=O)(O)O)cc1
415,CCc1cccc(OP(=O)(O)O)c1
416,CN1C(=O)[C@H](Cc2c[nH]c3cccc([N+](=O)[O-])c23)N(C)C(=O)[C@@H]1Cc1ccccc1
417,CN1C(=O)[C@](O)(Cc2ccccc2)N(C)C(=O)[C@@H]1Cc1c[nH]c2cccc([N+](=O)[O-])c12
418,CCCCCC[C@H]1C(=O)O[C@H](C)C/C=C/C=C/C=C/C=C/C=C(\C)[C@@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@@H]1O
419,CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]2[C@H](C)[C@H](CC1)O[C@]1(CC[C@H](C)[C@H](C[C@@H](C)O)O1)[C@H]2C
420,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
421,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
422,CC/C=C\C[C@H](O)/C=C/C=C\CCCCCCCC(=O)O
423,CCCCC[C@H](O)/C=C/C=C\CCCCCCCC(=O)O
424,CCCCC[C@@H]1O[C@@H]1C/C=C\CCCCCCCC(=O)O
425,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C/C=C/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
426,O=C1C(O)=CC(=O)c2c(O)cc(O)cc21
427,O=C1C=C(O)C(=O)c2ccccc21
428,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1
429,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
430,Oc1cc(O)c2c(O)cc(O)c(O)c2c1
431,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
432,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C
433,CC(C)=C[C@H](O)C/C(C)=C/CC/C(C)=C/Cc1c(C)[nH]c2ccccc2c1=O
434,C[C@@H]1O[C@@H](n2c3ccccc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)C[C@@H](N)[C@H]1O
435,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
