Substrate_Index,Substrate_SMILES
54,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1c[nH]c2ccccc12
55,CC(C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
56,CC[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
57,c1ccc(-c2c[nH]cn2)cc1
58,CC[C@@H]1C[C@@H]2C[C@@H]3C/C=C/CC(=O)NCCC[C@@H]4NC(=O)/C(=C(O)/C=C/C=C/[C@H](O)[C@H]3[C@@H]2[C@H]1C)C4=O
59,COc1cc(C)cc(OC)c1O
60,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
61,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C
62,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
63,CC(C)(C)[C@@](O)(CCc1ccc(Cl)cc1)Cn1cncn1
64,CC(C)(C)[C@](O)(CCc1ccc(Cl)cc1)Cn1cncn1
65,O[C@@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1
66,O[C@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1
67,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl
68,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
69,C[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
70,C[C@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
71,C[C@@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
72,C[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
73,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1
74,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12
75,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
76,CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C
77,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO
78,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
79,CC(=O)/C=C/C=C(\C)CCC=C(C)C
80,CCCCCCCC/C=C\CCCCCCCC(=O)O
81,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
82,CC1=CC[C@H]2O[C@]1(C)O[C@H]([C@H](C)/C=C(C)/C=C/C(O)=C1/C(=O)C=NC1=O)[C@H]2C
83,CCCCCC(=O)O
84,CC[C@H](C)C[C@@H](C)CCC(=O)O
85,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
86,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
87,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1
88,N#Cc1ccc(COc2ccc(C=Cc3ccc(C(F)(F)[C@](O)(Cn4cnnn4)c4ccc(F)cc4F)nc3)cc2)cc1
89,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(OCC(F)(F)F)cc3F)o2)cc1
90,CCCCCC/C=C/[C@@H]1[C@@H](CC=CCCCC(=O)O)[C@@H]2C[C@H]1N=N2
91,Clc1ccc([C@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
92,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1c[nH]cn1
93,COC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
94,CCCC[C@H]1CC[C@]2(CC[C@H](C)[C@@H](C/C=C(C)/C=C/[C@H](O)[C@@H](C)/C=C/C(=O)O)O2)O[C@H]1/C=C/C(C)=C/C(=O)O
95,Clc1ccc(-c2cnc[nH]2)cc1
96,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
97,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F
98,CCCCCC/C=C\CCCCCCCC(=O)O
99,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
100,CC(C)(C)[C@H](O)/C(=C\c1ccc(Cl)cc1)n1cncn1
101,C[C@@](O)(c1ccccc1)[C@H](Cc1ccc(Cl)cc1)n1cncn1
102,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C
103,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@H](C)C[C@H](C)C(=O)/C=C/[C@H]1C
104,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCCC2)O1
105,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCC2)O1
106,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C
107,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C
108,CN(C)CCCCCOC1CCCCCCCCCCC1
109,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)c2ccccc2CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C
110,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C
111,c1ccc(-c2ccc([C@H](c3ccccc3)n3ccnc3)cc2)cc1
112,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
113,Clc1ccccc1CN1CCc2sccc2C1
114,CC(C)(C)c1ccc(CC=O)cc1
115,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
116,O=CCc1cc2ccccc2c2ccccc12
117,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
118,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
119,Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1
120,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
121,c1ccccc1
122,[C-]#[N+]CCCC
123,Clc1cc(Cl)cc(Cl)c1
124,CC1=CC[C@@H]2C[C@H]1C2(C)C
125,CN1CCC[C@H]1c1cccnc1
126,CCCCCC[C@](O)(Cn1ccnc1)c1ccc(Cl)cc1Cl
127,c1ccc(-n2ccnc2)cc1
128,c1ccc(-c2ncc[nH]2)cc1
129,c1ccc(-c2cnc[nH]2)cc1
130,CC(C)(C(=O)c1cccnc1)c1cccnc1
131,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
132,Cn1cc[nH+]c1
133,C1C2CC3CC1CC(C2)C3
134,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
135,O=C1C2CC3CC(C2)CC1C3
136,CC12CCC(CC1)C2(C)C
137,CC1(C)[C@H]2CC(=O)[C@]1(C)C[C@H]2O
138,O=C1C[C@H]2CC[C@@H]1C2
139,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2
140,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12
141,CC(C)=CCC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12
142,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
143,COc1ccc2[nH]c(C(=O)N3C[C@@H](CCl)c4c3ccc3[nH]ccc43)cc2c1
144,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
145,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
146,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
147,Cc1cn[nH]c1
148,c1ccc2[nH]ncc2c1
149,O=C(O)CCCCCCCCCn1ccnc1
150,O=C(O)CCCCCCCn1ccnc1
151,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
152,COc1cccc(CO)c1O
