Substrate_Index,Substrate_SMILES,status,reason,num_atoms
148,c1ccc2[nH]ncc2c1,ok,OK,9
149,O=C(O)CCCCCCCCCn1ccnc1,ok,OK,17
150,O=C(O)CCCCCCCn1ccnc1,ok,OK,15
151,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,ok,OK,15
152,COc1cccc(CO)c1O,ok,OK,11
153,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,ok,OK,31
154,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cn1,ok,OK,36
155,CCN(CC)c1ccc2cc(C(=O)NC[C@](O)(Cn3cncn3)c3ccc(F)cc3F)c(=O)oc2c1,ok,OK,36
156,O=C(NC[C@](O)(Cn1cncn1)c1ccc(F)cc1F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1,ok,OK,37
157,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ok,OK,22
158,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,ok,OK,41
159,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl,ok,OK,25
160,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2,ok,OK,31
161,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,ok,OK,25
162,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,ok,OK,26
163,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,ok,OK,24
164,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,ok,OK,24
165,Cn1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1,ok,OK,25
166,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3cn[nH]c3)C[C@H]2CS1,ok,OK,24
167,C[C@@]1(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)CCSC(N)=N1,ok,OK,25
168,C[C@@H]1C[C@@](C)(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)N=C(N)S1,ok,OK,26
169,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,ok,OK,28
170,O=c1ccc2ccccc2o1,ok,OK,11
171,COc1c2occc2cc2ccc(=O)oc12,ok,OK,16
172,CN(C)Cc1ccc(-c2cccnc2)o1,ok,OK,15
173,CNCc1ccc(-c2cccnc2)o1,ok,OK,14
174,NCc1ccc(-c2cccnc2)o1,ok,OK,13
175,c1cc(SSc2ccncc2)ccn1,ok,OK,14
176,CCOc1ccc(NC(C)=O)cc1,ok,OK,13
177,C=C1CC[C@@]2(C(C)C)C[C@@H]12,ok,OK,10
