reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,pmids
P450R2506,463,202,O=C(O)C(N)CC1=CN(C=2C=CC(C#C)=CC21)C,O=C(O)C(N)CC1=CN(C2=CC=C(C#C)C(=C21)N(=O)=O)C,
P450R2498,463,203,O=C(O)C(N)CC1=CN(C=2C=CC(C=C)=CC21)C,O=C(O)C(N)CC1=CN(C2=CC=C(C=C)C(=C21)N(=O)=O)C,
P450R2476,463,204,O=C(O)C(N)CC1=CN(C=2C=CC(N)=CC21)C,O=C(O)C(N)CC1=CN(C2=CC=C(N)C(=C21)N(=O)=O)C,
P450R2522,463,205,O=C(O)C(N)CC1=CN(C=2C=CC(SC)=CC21)C,O=C(O)C(N)CC1=CN(C2=CC=C(SC)C(=C21)N(=O)=O)C,
P450R2474,463,206,O=C(O)C(N)CC1=CN(C=2C=CC=C(Br)C21)C,O=C(O)C(N)CC1=CN(C2=C1C(Br)=CC=C2N(=O)=O)C,
P450R2512,463,207,O=C(O)C(N)CC1=CN(C=2C=CC=C(C#C)C21)C,O=C(O)C(N)CC1=CN(C2=C1C(C#C)=CC=C2N(=O)=O)C,
P450R2488,463,208,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=3C=CC=CC3)C21)C,O=C(O)C(N)CC1=CN(C=2C(=CC=C(C=3C=CC=CC3)C12)N(=O)=O)C,
P450R2536,463,209,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=3C=CN=CC3)C21)C,O=C(O)C(N)CC1=CN(C=2C(=CC=C(C=3C=CN=CC3)C12)N(=O)=O)C,
P450R2504,463,210,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=C)C21)C,O=C(O)C(N)CC1=CN(C=2C(=CC=C(C=C)C12)N(=O)=O)C,
P450R2480,463,212,O=C(O)C(N)CC1=CN(C=2C=CC=C(N)C21)C,O=C(O)C(N)CC1=CN(C2=C1C(N)=CC=C2N(=O)=O)C,
P450R2528,463,213,O=C(O)C(N)CC1=CN(C=2C=CC=C(SC)C21)C,O=C(O)C(N)CC1=CN(C2=C1C(SC)=CC=C2N(=O)=O)C,
P450R2392,463,214,O=C(O)C(N)CC1=CNC2=C1C=CC=C2C3CC3,O=C(O)C(N)CC1=CNC=2C1=C(C=CC2C3CC3)N(=O)=O,
P450R2438,463,214,O=C(O)C(N)CC1=CNC2=C1C=CC=C2C3CC3,O=C(O)C(N)CC1=CNC=2C1=C(C=CC2C3CC3)N(=O)=O,
P450R2406,463,215,O=C(O)C(N)CC1=CNC2=C1C=CC=C2N3CCOCC3,O=C(O)C(N)CC1=CNC2=C(C=CC(=C21)N(=O)=O)N3CCOCC3,
P450R2454,463,215,O=C(O)C(N)CC1=CNC2=C1C=CC=C2N3CCOCC3,O=C(O)C(N)CC1=CNC2=C(C=CC(=C21)N(=O)=O)N3CCOCC3,
P450R2426,463,216,O=C(O)C(N)CC1=CNC2=CC=C(C=C21)C=3C=CC=CC3,O=C(O)C(N)CC1=CNC2=CC=C(C=3C=CC=CC3)C(=C21)N(=O)=O,
P450R2416,463,217,O=C(O)C(N)CC1=CNC2=CC=C(C=C21)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC2=CC=C(C=3C=CN=CC3)C(=C21)N(=O)=O,
P450R2466,463,217,O=C(O)C(N)CC1=CNC2=CC=C(C=C21)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC2=CC=C(C=3C=CN=CC3)C(=C21)N(=O)=O,
P450R2747,463,955,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)C,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)C)N(=O)=O;O=C(O)C(N)CC1=CNC=2C1=C(C=CC2N(=O)=O)C,
P450R2394,463,218,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)C3CC3,O=C(O)C(N)CC1=CNC=2C1=C(C=CC2N(=O)=O)C3CC3,
P450R2440,463,218,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)C3CC3,O=C(O)C(N)CC1=CNC=2C1=C(C=CC2N(=O)=O)C3CC3,
P450R2408,463,219,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=C(C=CC(=C21)N3CCOCC3)N(=O)=O,
P450R2456,463,219,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=C(C=CC(=C21)N3CCOCC3)N(=O)=O,
P450R2386,463,220,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CC=CC3)=C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=3C=CC=CC3)C12)N(=O)=O,
P450R2432,463,220,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CC=CC3)=C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=3C=CC=CC3)C12)N(=O)=O,
