ccd_code,smiles,source,validation_status,error_message
5CL,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,API,VALID,
5KK,C1CNCN2CNCCNCN(CN1)CNCCNC2,API,VALID,
5L8,O[C@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1,API,VALID,
5L9,O[C@@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1,API,VALID,
5LU,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,API,VALID,
5LW,C[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,API,VALID,
5LX,C[C@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,API,VALID,
5LY,C[C@@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,API,VALID,
5LZ,C[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,API,VALID,
5MK,NC(=O)c1cc(Cl)ccc1N,API,VALID,
5R0,CC(C)(C)c1ccc(C(=O)O)cc1,API,VALID,
5TV,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cc(Cl)cc(Cl)c1,API,VALID,
5UR,O=C(O[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1cccc(C(F)(F)F)c1,API,VALID,
5YG,COc1ccc(CNc2ccc(Cc3ccncc3)cc2)cc1,API,VALID,
69M,Nc1cccc(-c2cccc(-c3c(-c4ccc(O)cc4)n[nH]c3N)c2)c1,API,VALID,
69R,Oc1ccc(-c2n[nH]c(NCc3c[nH]cn3)c2-c2ccc(O)cc2)cc1,API,VALID,
69S,Nc1cccc(-c2cc(-c3c(-c4ccc(O)cc4)n[nH]c3N)ccc2O)c1,API,VALID,
69T,Oc1ccc(Nc2cc(-c3ccc(O)cc3)n[nH]2)cc1,API,VALID,
69U,Oc1ccc(CNc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1,API,VALID,
69W,Nc1cccc(-c2cccc(-c3cn[nH]c3N)c2)c1,API,VALID,
6HE,C=Cc1c(C)c2[n]3c1C=c1c(C)c(C)c4[n]1[Fe@]31[n]3c(c(C)c(CCC(=O)O)c3C=4)C=c3c(C)c(C=C)c([n]31)=C2,API,VALID,
6NA,CCCCCC(=O)O,API,VALID,
6RJ,N#Cc1cc(S(=O)(=O)Nc2nccs2)ccc1Oc1ccc(Cl)cc1-c1cn[nH]c1,API,VALID,
6VP,N#Cc1cc([N+](=O)[O-])ccc1O,API,VALID,
6XD,O=C(NCCCn1ccnc1)NC12CC3CC(CC(C3)C1)C2,API,VALID,
6XF,COc1ccc(-c2noc(CN(C(=O)Cc3ccc([N+](=O)[O-])cc3)C(C)C)n2)cc1,API,VALID,
6YF,COc1cc(NS(=O)(=O)C(F)(F)F)cc(OC)c1Oc1ccc(C#N)c(Cl)c1,API,VALID,
7HE,C=Cc1c(C)c2[n]3c1C=c1c(C)c(CCC(=O)O)c4[n]1[Fe@]31[n]3c(c(C)c(C)c3C=4)C=c3c(C)c(C=C)c([n]31)=C2,API,VALID,
7PW,O=C(N[C@@H](Cn1ccnc1)c1c(F)cc(-c2ccc(F)cc2)cc1F)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,API,VALID,
7ZU,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,API,VALID,
81H,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cn1,API,VALID,
81J,CCOc1ccc(C(=O)O)cc1,API,VALID,
81M,CCSc1ccc(C(=O)O)cc1,API,VALID,
81P,CNc1ccc(C(=O)O)cc1,API,VALID,
82S,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2,API,VALID,
85D,CC1(C)[C@@H]2CC=C(CBr)[C@H]1C2,API,VALID,
