exp,label,unit_cn,group_id,split,n_enzymes,n_samples,n_positive
EXP006,NN40,NN40组件,nn40_comp_0115,train,1,18,1
EXP006,NN40,NN40组件,nn40_comp_0116,train,1,25,1
EXP006,NN40,NN40组件,nn40_comp_0117,train,1,28,1
EXP006,NN40,NN40组件,nn40_comp_0118,train,1,22,1
EXP006,NN40,NN40组件,nn40_comp_0119,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0120,train,1,25,1
EXP006,NN40,NN40组件,nn40_comp_0121,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0122,train,1,32,3
EXP006,NN40,NN40组件,nn40_comp_0123,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0124,test,1,24,2
EXP006,NN40,NN40组件,nn40_comp_0125,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0126,train,1,25,2
EXP006,NN40,NN40组件,nn40_comp_0127,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0128,train,1,25,2
EXP006,NN40,NN40组件,nn40_comp_0129,train,1,25,1
EXP006,NN40,NN40组件,nn40_comp_0130,train,1,18,1
EXP006,NN40,NN40组件,nn40_comp_0131,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0132,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0133,train,1,25,2
EXP006,NN40,NN40组件,nn40_comp_0134,train,1,25,2
EXP006,NN40,NN40组件,nn40_comp_0135,train,1,25,1
EXP006,NN40,NN40组件,nn40_comp_0136,train,1,13,1
EXP006,NN40,NN40组件,nn40_comp_0137,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0138,train,1,18,0
EXP006,NN40,NN40组件,nn40_comp_0139,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0140,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0141,train,1,16,1
EXP006,NN40,NN40组件,nn40_comp_0142,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0143,train,1,36,4
EXP006,NN40,NN40组件,nn40_comp_0144,train,1,36,4
EXP006,NN40,NN40组件,nn40_comp_0145,train,1,36,4
EXP006,NN40,NN40组件,nn40_comp_0146,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0147,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0148,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0149,train,1,29,3
EXP006,NN40,NN40组件,nn40_comp_0150,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0151,train,1,35,4
EXP006,NN40,NN40组件,nn40_comp_0152,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0153,train,1,29,2
EXP006,NN40,NN40组件,nn40_comp_0154,train,1,73,11
EXP006,NN40,NN40组件,nn40_comp_0155,train,1,29,3
EXP006,NN40,NN40组件,nn40_comp_0156,train,1,32,3
EXP006,NN40,NN40组件,nn40_comp_0157,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0158,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0159,train,1,26,1
EXP006,NN40,NN40组件,nn40_comp_0160,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0161,test,1,22,2
EXP006,NN40,NN40组件,nn40_comp_0162,train,1,13,1
EXP006,NN40,NN40组件,nn40_comp_0163,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0164,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0165,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0166,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0167,train,1,26,2
EXP006,NN40,NN40组件,nn40_comp_0168,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0169,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0170,train,1,25,2
EXP006,NN40,NN40组件,nn40_comp_0171,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0172,train,1,31,2
EXP006,NN40,NN40组件,nn40_comp_0173,train,1,26,1
EXP006,NN40,NN40组件,nn40_comp_0174,train,1,27,2
EXP006,NN40,NN40组件,nn40_comp_0175,train,1,13,1
EXP006,NN40,NN40组件,nn40_comp_0176,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0177,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0178,train,1,18,1
EXP006,NN40,NN40组件,nn40_comp_0179,train,1,26,2
EXP006,NN40,NN40组件,nn40_comp_0180,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0181,train,1,28,2
EXP006,NN40,NN40组件,nn40_comp_0182,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0183,train,1,29,3
EXP006,NN40,NN40组件,nn40_comp_0184,train,1,31,2
EXP006,NN40,NN40组件,nn40_comp_0185,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0186,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0187,train,1,93,14
EXP006,NN40,NN40组件,nn40_comp_0188,train,1,28,1
EXP006,NN40,NN40组件,nn40_comp_0189,train,1,24,1
EXP006,NN40,NN40组件,nn40_comp_0190,train,1,26,1
EXP006,NN40,NN40组件,nn40_comp_0191,train,1,35,4
EXP006,NN40,NN40组件,nn40_comp_0192,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0193,train,1,55,7
EXP006,NN40,NN40组件,nn40_comp_0194,train,1,30,3
EXP006,NN40,NN40组件,nn40_comp_0195,train,1,18,1
EXP006,NN40,NN40组件,nn40_comp_0196,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0197,train,1,27,2
EXP006,NN40,NN40组件,nn40_comp_0198,train,1,40,4
EXP006,NN40,NN40组件,nn40_comp_0199,train,1,30,3
EXP006,NN40,NN40组件,nn40_comp_0200,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0201,train,1,43,5
EXP006,NN40,NN40组件,nn40_comp_0202,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0203,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0204,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0205,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0206,train,1,20,1
EXP006,NN40,NN40组件,nn40_comp_0207,train,1,16,1
EXP006,NN40,NN40组件,nn40_comp_0208,train,1,14,1
EXP006,NN40,NN40组件,nn40_comp_0209,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0210,train,1,15,1
EXP006,NN40,NN40组件,nn40_comp_0211,train,1,26,2
EXP006,NN40,NN40组件,nn40_comp_0212,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0213,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0214,train,1,26,1
EXP006,NN40,NN40组件,nn40_comp_0215,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0216,train,1,80,10
EXP006,NN40,NN40组件,nn40_comp_0217,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0218,train,1,63,9
EXP006,NN40,NN40组件,nn40_comp_0219,test,1,24,2
EXP006,NN40,NN40组件,nn40_comp_0220,train,1,60,8
EXP006,NN40,NN40组件,nn40_comp_0221,test,1,18,2
EXP006,NN40,NN40组件,nn40_comp_0222,train,1,21,1
EXP006,NN40,NN40组件,nn40_comp_0223,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0224,test,1,23,2
EXP006,NN40,NN40组件,nn40_comp_0225,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0226,train,1,91,14
EXP006,NN40,NN40组件,nn40_comp_0227,train,1,27,2
EXP006,NN40,NN40组件,nn40_comp_0228,train,1,31,2
EXP006,NN40,NN40组件,nn40_comp_0229,train,1,23,1
EXP006,NN40,NN40组件,nn40_comp_0230,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0231,train,1,25,1
EXP006,NN40,NN40组件,nn40_comp_0232,test,1,20,2
EXP006,NN40,NN40组件,nn40_comp_0233,test,1,28,3
EXP006,NN40,NN40组件,nn40_comp_0234,train,1,33,3
EXP006,NN40,NN40组件,nn40_comp_0235,train,1,30,3
EXP006,NN40,NN40组件,nn40_comp_0236,train,1,30,1
EXP006,NN40,NN40组件,nn40_comp_0237,train,1,27,1
EXP006,NN40,NN40组件,nn40_comp_0238,train,1,17,1
EXP006,NN40,NN40组件,nn40_comp_0239,train,1,21,1
EXP006,NN40,NN40组件,nn40_comp_0240,train,1,22,1
EXP006,NN40,NN40组件,nn40_comp_0241,train,1,21,1
EXP006,NN40,NN40组件,nn40_comp_0242,train,1,26,1
EXP006,NN40,NN40组件,nn40_comp_0243,train,1,19,1
EXP006,NN40,NN40组件,nn40_comp_0244,train,1,13,0
EXP005,NN60,NN60组件,nn60_comp_0001,val,39,1283,112
EXP005,NN60,NN60组件,nn60_comp_0002,train,35,1244,134
EXP005,NN60,NN60组件,nn60_comp_0003,test,2,932,148
EXP005,NN60,NN60组件,nn60_comp_0004,train,12,841,114
EXP005,NN60,NN60组件,nn60_comp_0005,val,26,636,47
EXP005,NN60,NN60组件,nn60_comp_0006,test,20,602,53
EXP005,NN60,NN60组件,nn60_comp_0007,test,17,548,49
EXP005,NN60,NN60组件,nn60_comp_0008,train,25,498,29
EXP005,NN60,NN60组件,nn60_comp_0009,train,12,462,51
EXP005,NN60,NN60组件,nn60_comp_0010,test,16,423,24
EXP005,NN60,NN60组件,nn60_comp_0011,val,13,409,42
EXP005,NN60,NN60组件,nn60_comp_0012,val,8,402,45
EXP005,NN60,NN60组件,nn60_comp_0013,test,14,395,32
EXP005,NN60,NN60组件,nn60_comp_0014,train,10,374,40
EXP005,NN60,NN60组件,nn60_comp_0015,val,5,370,50
EXP005,NN60,NN60组件,nn60_comp_0016,train,2,365,58
EXP005,NN60,NN60组件,nn60_comp_0017,test,11,354,33
EXP005,NN60,NN60组件,nn60_comp_0018,train,6,347,44
EXP005,NN60,NN60组件,nn60_comp_0019,test,14,323,19
EXP005,NN60,NN60组件,nn60_comp_0020,test,15,311,18
EXP005,NN60,NN60组件,nn60_comp_0021,test,13,305,20
EXP005,NN60,NN60组件,nn60_comp_0022,val,10,299,28
EXP005,NN60,NN60组件,nn60_comp_0023,val,11,295,25
EXP005,NN60,NN60组件,nn60_comp_0024,train,8,289,30
EXP005,NN60,NN60组件,nn60_comp_0025,train,10,284,24
EXP005,NN60,NN60组件,nn60_comp_0026,train,13,277,19
EXP005,NN60,NN60组件,nn60_comp_0027,val,11,274,22
EXP005,NN60,NN60组件,nn60_comp_0028,test,10,268,20
EXP005,NN60,NN60组件,nn60_comp_0029,train,6,259,31
EXP005,NN60,NN60组件,nn60_comp_0030,val,4,257,34
EXP005,NN60,NN60组件,nn60_comp_0031,train,5,245,29
EXP005,NN60,NN60组件,nn60_comp_0032,val,4,240,29
EXP005,NN60,NN60组件,nn60_comp_0033,test,11,233,14
EXP005,NN60,NN60组件,nn60_comp_0034,val,8,232,18
EXP005,NN60,NN60组件,nn60_comp_0035,val,7,232,22
EXP005,NN60,NN60组件,nn60_comp_0036,test,6,230,21
EXP005,NN60,NN60组件,nn60_comp_0037,train,4,230,29
EXP005,NN60,NN60组件,nn60_comp_0038,train,1,227,36
EXP005,NN60,NN60组件,nn60_comp_0039,test,8,222,17
EXP005,NN60,NN60组件,nn60_comp_0040,test,10,206,12
EXP005,NN60,NN60组件,nn60_comp_0041,test,8,201,14
EXP005,NN60,NN60组件,nn60_comp_0042,test,4,200,23
EXP005,NN60,NN60组件,nn60_comp_0043,val,8,198,15
EXP005,NN60,NN60组件,nn60_comp_0044,train,3,193,26
EXP005,NN60,NN60组件,nn60_comp_0045,test,5,192,20
EXP005,NN60,NN60组件,nn60_comp_0046,val,7,190,14
EXP005,NN60,NN60组件,nn60_comp_0047,train,6,184,19
EXP005,NN60,NN60组件,nn60_comp_0048,train,6,184,17
EXP005,NN60,NN60组件,nn60_comp_0049,val,2,177,25
EXP005,NN60,NN60组件,nn60_comp_0050,val,5,174,17
EXP005,NN60,NN60组件,nn60_comp_0051,val,4,162,19
EXP005,NN60,NN60组件,nn60_comp_0052,val,3,161,19
EXP005,NN60,NN60组件,nn60_comp_0053,test,7,160,12
EXP005,NN60,NN60组件,nn60_comp_0054,val,6,158,13
EXP005,NN60,NN60组件,nn60_comp_0055,test,3,158,17
EXP005,NN60,NN60组件,nn60_comp_0056,train,6,156,12
EXP005,NN60,NN60组件,nn60_comp_0057,train,3,155,20
EXP005,NN60,NN60组件,nn60_comp_0058,val,4,153,17
EXP005,NN60,NN60组件,nn60_comp_0059,test,3,152,19
EXP005,NN60,NN60组件,nn60_comp_0060,val,4,151,16
EXP005,NN60,NN60组件,nn60_comp_0061,test,3,150,19
EXP005,NN60,NN60组件,nn60_comp_0062,train,6,149,9
EXP005,NN60,NN60组件,nn60_comp_0063,val,4,148,15
EXP005,NN60,NN60组件,nn60_comp_0064,train,5,145,16
EXP005,NN60,NN60组件,nn60_comp_0065,test,2,145,21
EXP005,NN60,NN60组件,nn60_comp_0066,test,6,143,10
EXP005,NN60,NN60组件,nn60_comp_0067,train,8,143,3
EXP005,NN60,NN60组件,nn60_comp_0068,test,1,143,23
EXP005,NN60,NN60组件,nn60_comp_0069,val,3,142,17
EXP005,NN60,NN60组件,nn60_comp_0070,train,6,141,9
EXP005,NN60,NN60组件,nn60_comp_0071,test,4,139,14
EXP005,NN60,NN60组件,nn60_comp_0072,train,4,138,12
EXP005,NN60,NN60组件,nn60_comp_0073,train,3,136,16
EXP005,NN60,NN60组件,nn60_comp_0074,test,4,135,13
EXP005,NN60,NN60组件,nn60_comp_0075,train,6,133,10
EXP005,NN60,NN60组件,nn60_comp_0076,val,1,133,21
EXP005,NN60,NN60组件,nn60_comp_0077,train,6,132,6
EXP005,NN60,NN60组件,nn60_comp_0078,val,3,132,13
EXP005,NN60,NN60组件,nn60_comp_0079,train,6,131,10
EXP005,NN60,NN60组件,nn60_comp_0080,train,6,130,10
EXP005,NN60,NN60组件,nn60_comp_0081,train,7,130,9
EXP005,NN60,NN60组件,nn60_comp_0082,test,3,129,16
EXP005,NN60,NN60组件,nn60_comp_0083,val,4,127,12
EXP005,NN60,NN60组件,nn60_comp_0084,train,5,126,10
EXP005,NN60,NN60组件,nn60_comp_0085,train,4,125,13
EXP005,NN60,NN60组件,nn60_comp_0086,train,5,122,10
EXP005,NN60,NN60组件,nn60_comp_0087,train,4,121,9
EXP005,NN60,NN60组件,nn60_comp_0088,val,2,121,15
EXP005,NN60,NN60组件,nn60_comp_0089,train,4,120,11
EXP005,NN60,NN60组件,nn60_comp_0090,val,3,120,13
EXP005,NN60,NN60组件,nn60_comp_0091,train,3,118,12
EXP005,NN60,NN60组件,nn60_comp_0092,train,3,117,12
EXP005,NN60,NN60组件,nn60_comp_0093,val,2,115,14
EXP005,NN60,NN60组件,nn60_comp_0094,val,3,115,11
EXP005,NN60,NN60组件,nn60_comp_0095,train,4,114,10
EXP005,NN60,NN60组件,nn60_comp_0096,train,5,112,9
EXP005,NN60,NN60组件,nn60_comp_0097,train,4,112,11
EXP005,NN60,NN60组件,nn60_comp_0098,train,5,112,4
EXP005,NN60,NN60组件,nn60_comp_0099,train,4,110,9
EXP005,NN60,NN60组件,nn60_comp_0100,train,6,110,6
EXP005,NN60,NN60组件,nn60_comp_0101,val,1,109,16
EXP005,NN60,NN60组件,nn60_comp_0102,train,5,107,7
EXP005,NN60,NN60组件,nn60_comp_0103,train,4,106,9
EXP005,NN60,NN60组件,nn60_comp_0104,test,1,104,16
EXP005,NN60,NN60组件,nn60_comp_0105,train,4,103,8
EXP005,NN60,NN60组件,nn60_comp_0106,train,3,100,9
EXP005,NN60,NN60组件,nn60_comp_0107,train,2,97,13
EXP005,NN60,NN60组件,nn60_comp_0108,train,3,97,7
EXP005,NN60,NN60组件,nn60_comp_0109,train,5,96,6
EXP005,NN60,NN60组件,nn60_comp_0110,train,2,96,12
EXP005,NN60,NN60组件,nn60_comp_0111,train,4,96,5
EXP005,NN60,NN60组件,nn60_comp_0112,train,2,94,11
EXP005,NN60,NN60组件,nn60_comp_0113,train,1,93,14
EXP005,NN60,NN60组件,nn60_comp_0114,train,3,93,7
EXP005,NN60,NN60组件,nn60_comp_0115,train,4,92,8
EXP005,NN60,NN60组件,nn60_comp_0116,train,3,92,10
EXP005,NN60,NN60组件,nn60_comp_0117,train,3,91,9
EXP005,NN60,NN60组件,nn60_comp_0118,train,3,91,8
EXP005,NN60,NN60组件,nn60_comp_0119,train,1,91,14
EXP005,NN60,NN60组件,nn60_comp_0120,train,4,90,5
EXP005,NN60,NN60组件,nn60_comp_0121,train,2,90,10
EXP005,NN60,NN60组件,nn60_comp_0122,train,4,89,5
EXP005,NN60,NN60组件,nn60_comp_0123,train,2,89,10
EXP005,NN60,NN60组件,nn60_comp_0124,train,4,88,6
EXP005,NN60,NN60组件,nn60_comp_0125,train,4,86,5
EXP005,NN60,NN60组件,nn60_comp_0126,train,3,86,6
EXP005,NN60,NN60组件,nn60_comp_0127,train,4,86,4
EXP005,NN60,NN60组件,nn60_comp_0128,train,4,82,4
EXP005,NN60,NN60组件,nn60_comp_0129,train,2,81,9
EXP005,NN60,NN60组件,nn60_comp_0130,train,4,81,0
EXP005,NN60,NN60组件,nn60_comp_0131,train,1,80,10
EXP005,NN60,NN60组件,nn60_comp_0132,val,1,79,11
EXP005,NN60,NN60组件,nn60_comp_0133,train,2,79,8
EXP005,NN60,NN60组件,nn60_comp_0134,train,4,78,4
EXP005,NN60,NN60组件,nn60_comp_0135,train,3,77,4
EXP005,NN60,NN60组件,nn60_comp_0136,train,3,76,7
EXP005,NN60,NN60组件,nn60_comp_0137,train,3,74,5
EXP005,NN60,NN60组件,nn60_comp_0138,train,3,74,6
EXP005,NN60,NN60组件,nn60_comp_0139,train,1,73,11
EXP005,NN60,NN60组件,nn60_comp_0140,train,3,73,7
EXP005,NN60,NN60组件,nn60_comp_0141,train,3,73,4
EXP005,NN60,NN60组件,nn60_comp_0142,train,2,73,8
EXP005,NN60,NN60组件,nn60_comp_0143,train,1,72,10
EXP005,NN60,NN60组件,nn60_comp_0144,train,2,71,7
EXP005,NN60,NN60组件,nn60_comp_0145,train,2,70,6
EXP005,NN60,NN60组件,nn60_comp_0146,train,1,70,10
EXP005,NN60,NN60组件,nn60_comp_0147,train,2,69,7
EXP005,NN60,NN60组件,nn60_comp_0148,train,3,69,5
EXP005,NN60,NN60组件,nn60_comp_0149,train,2,69,7
EXP005,NN60,NN60组件,nn60_comp_0150,train,1,69,10
EXP005,NN60,NN60组件,nn60_comp_0151,train,2,67,6
EXP005,NN60,NN60组件,nn60_comp_0152,train,1,65,8
EXP005,NN60,NN60组件,nn60_comp_0153,train,2,64,5
EXP005,NN60,NN60组件,nn60_comp_0154,train,2,63,5
EXP005,NN60,NN60组件,nn60_comp_0155,train,3,63,4
EXP005,NN60,NN60组件,nn60_comp_0156,test,1,63,9
EXP005,NN60,NN60组件,nn60_comp_0157,train,4,62,3
EXP005,NN60,NN60组件,nn60_comp_0158,train,3,62,3
EXP005,NN60,NN60组件,nn60_comp_0159,train,3,61,3
EXP005,NN60,NN60组件,nn60_comp_0160,train,2,61,6
EXP005,NN60,NN60组件,nn60_comp_0161,train,2,60,6
EXP005,NN60,NN60组件,nn60_comp_0162,train,2,60,5
EXP005,NN60,NN60组件,nn60_comp_0163,train,2,60,5
EXP005,NN60,NN60组件,nn60_comp_0164,train,1,60,8
EXP005,NN60,NN60组件,nn60_comp_0165,train,1,60,6
EXP005,NN60,NN60组件,nn60_comp_0166,train,3,59,3
EXP005,NN60,NN60组件,nn60_comp_0167,train,3,59,4
EXP005,NN60,NN60组件,nn60_comp_0168,train,2,59,5
EXP005,NN60,NN60组件,nn60_comp_0169,train,2,59,3
EXP005,NN60,NN60组件,nn60_comp_0170,train,2,59,6
EXP005,NN60,NN60组件,nn60_comp_0171,train,2,58,4
EXP005,NN60,NN60组件,nn60_comp_0172,train,2,57,4
EXP005,NN60,NN60组件,nn60_comp_0173,train,1,57,8
EXP005,NN60,NN60组件,nn60_comp_0174,train,2,57,4
EXP005,NN60,NN60组件,nn60_comp_0175,train,2,57,4
EXP005,NN60,NN60组件,nn60_comp_0176,train,2,56,3
EXP005,NN60,NN60组件,nn60_comp_0177,train,2,56,5
EXP005,NN60,NN60组件,nn60_comp_0178,train,1,55,7
EXP005,NN60,NN60组件,nn60_comp_0179,train,2,54,3
EXP005,NN60,NN60组件,nn60_comp_0180,train,1,54,7
EXP005,NN60,NN60组件,nn60_comp_0181,train,3,54,3
EXP005,NN60,NN60组件,nn60_comp_0182,train,2,53,2
EXP005,NN60,NN60组件,nn60_comp_0183,train,2,53,4
EXP005,NN60,NN60组件,nn60_comp_0184,train,1,53,6
EXP005,NN60,NN60组件,nn60_comp_0185,train,2,53,3
EXP005,NN60,NN60组件,nn60_comp_0186,train,2,53,5
EXP005,NN60,NN60组件,nn60_comp_0187,train,1,52,6
EXP005,NN60,NN60组件,nn60_comp_0188,train,2,52,4
EXP005,NN60,NN60组件,nn60_comp_0189,train,2,51,2
EXP005,NN60,NN60组件,nn60_comp_0190,test,1,51,6
EXP005,NN60,NN60组件,nn60_comp_0191,train,1,51,7
EXP005,NN60,NN60组件,nn60_comp_0192,train,2,51,4
EXP005,NN60,NN60组件,nn60_comp_0193,train,2,51,3
EXP005,NN60,NN60组件,nn60_comp_0194,train,2,51,3
EXP005,NN60,NN60组件,nn60_comp_0195,train,2,51,3
EXP005,NN60,NN60组件,nn60_comp_0196,train,3,50,3
EXP005,NN60,NN60组件,nn60_comp_0197,train,2,50,5
EXP005,NN60,NN60组件,nn60_comp_0198,train,2,50,4
EXP005,NN60,NN60组件,nn60_comp_0199,train,2,50,4
EXP005,NN60,NN60组件,nn60_comp_0200,train,2,50,3
EXP005,NN60,NN60组件,nn60_comp_0201,train,2,49,5
EXP005,NN60,NN60组件,nn60_comp_0202,train,2,49,2
EXP005,NN60,NN60组件,nn60_comp_0203,train,2,49,2
EXP005,NN60,NN60组件,nn60_comp_0204,train,2,49,2
EXP005,NN60,NN60组件,nn60_comp_0205,train,2,49,3
EXP005,NN60,NN60组件,nn60_comp_0206,train,2,48,3
EXP005,NN60,NN60组件,nn60_comp_0207,test,1,48,6
EXP005,NN60,NN60组件,nn60_comp_0208,train,2,48,4
EXP005,NN60,NN60组件,nn60_comp_0209,train,2,48,3
EXP005,NN60,NN60组件,nn60_comp_0210,train,1,48,5
EXP005,NN60,NN60组件,nn60_comp_0211,train,2,47,4
EXP005,NN60,NN60组件,nn60_comp_0212,train,2,47,4
EXP005,NN60,NN60组件,nn60_comp_0213,train,1,47,5
EXP005,NN60,NN60组件,nn60_comp_0214,train,2,47,3
EXP005,NN60,NN60组件,nn60_comp_0215,train,2,47,2
EXP005,NN60,NN60组件,nn60_comp_0216,train,2,47,4
EXP005,NN60,NN60组件,nn60_comp_0217,val,1,46,4
EXP005,NN60,NN60组件,nn60_comp_0218,val,1,46,6
EXP005,NN60,NN60组件,nn60_comp_0219,test,1,46,5
EXP005,NN60,NN60组件,nn60_comp_0220,train,2,45,3
EXP005,NN60,NN60组件,nn60_comp_0221,train,2,45,5
EXP005,NN60,NN60组件,nn60_comp_0222,train,2,45,2
EXP005,NN60,NN60组件,nn60_comp_0223,test,1,44,5
EXP005,NN60,NN60组件,nn60_comp_0224,train,2,44,4
EXP005,NN60,NN60组件,nn60_comp_0225,train,2,44,2
EXP005,NN60,NN60组件,nn60_comp_0226,test,1,44,3
EXP005,NN60,NN60组件,nn60_comp_0227,train,2,44,2
EXP005,NN60,NN60组件,nn60_comp_0228,val,1,44,5
EXP005,NN60,NN60组件,nn60_comp_0229,val,1,43,5
EXP005,NN60,NN60组件,nn60_comp_0230,train,2,43,3
EXP005,NN60,NN60组件,nn60_comp_0231,train,2,43,3
EXP005,NN60,NN60组件,nn60_comp_0232,test,1,43,6
EXP005,NN60,NN60组件,nn60_comp_0233,val,1,43,4
EXP005,NN60,NN60组件,nn60_comp_0234,train,2,43,2
EXP005,NN60,NN60组件,nn60_comp_0235,val,1,43,5
EXP005,NN60,NN60组件,nn60_comp_0236,val,1,43,4
EXP005,NN60,NN60组件,nn60_comp_0237,train,2,42,2
EXP005,NN60,NN60组件,nn60_comp_0238,train,2,42,2
EXP005,NN60,NN60组件,nn60_comp_0239,train,2,42,2
EXP005,NN60,NN60组件,nn60_comp_0240,train,2,42,2
EXP005,NN60,NN60组件,nn60_comp_0241,train,2,41,2
EXP005,NN60,NN60组件,nn60_comp_0242,train,2,41,2
EXP005,NN60,NN60组件,nn60_comp_0243,train,2,41,1
EXP005,NN60,NN60组件,nn60_comp_0244,train,2,41,2
EXP005,NN60,NN60组件,nn60_comp_0245,val,1,41,5
EXP005,NN60,NN60组件,nn60_comp_0246,train,2,41,2
EXP005,NN60,NN60组件,nn60_comp_0247,train,2,40,1
EXP005,NN60,NN60组件,nn60_comp_0248,train,2,40,2
EXP005,NN60,NN60组件,nn60_comp_0249,train,2,40,3
EXP005,NN60,NN60组件,nn60_comp_0250,test,1,40,5
EXP005,NN60,NN60组件,nn60_comp_0251,val,1,40,4
EXP005,NN60,NN60组件,nn60_comp_0252,test,1,40,4
EXP005,NN60,NN60组件,nn60_comp_0253,train,2,39,2
EXP005,NN60,NN60组件,nn60_comp_0254,train,2,39,2
EXP005,NN60,NN60组件,nn60_comp_0255,val,1,39,4
EXP005,NN60,NN60组件,nn60_comp_0256,train,2,39,3
EXP005,NN60,NN60组件,nn60_comp_0257,train,2,39,3
EXP005,NN60,NN60组件,nn60_comp_0258,test,1,38,5
EXP005,NN60,NN60组件,nn60_comp_0259,test,1,37,4
EXP005,NN60,NN60组件,nn60_comp_0260,train,2,37,2
EXP005,NN60,NN60组件,nn60_comp_0261,val,1,37,3
EXP005,NN60,NN60组件,nn60_comp_0262,test,1,37,4
EXP005,NN60,NN60组件,nn60_comp_0263,val,1,37,4
EXP005,NN60,NN60组件,nn60_comp_0264,test,1,37,4
EXP005,NN60,NN60组件,nn60_comp_0265,train,2,37,2
EXP005,NN60,NN60组件,nn60_comp_0266,train,2,37,2
EXP005,NN60,NN60组件,nn60_comp_0267,train,2,37,2
EXP005,NN60,NN60组件,nn60_comp_0268,test,1,36,4
EXP005,NN60,NN60组件,nn60_comp_0269,test,1,36,4
EXP005,NN60,NN60组件,nn60_comp_0270,test,1,36,4
EXP005,NN60,NN60组件,nn60_comp_0271,test,1,36,4
EXP005,NN60,NN60组件,nn60_comp_0272,test,1,36,3
EXP005,NN60,NN60组件,nn60_comp_0273,val,1,36,4
EXP005,NN60,NN60组件,nn60_comp_0274,train,2,36,2
EXP005,NN60,NN60组件,nn60_comp_0275,train,2,36,2
EXP005,NN60,NN60组件,nn60_comp_0276,test,1,36,3
EXP005,NN60,NN60组件,nn60_comp_0277,val,1,36,3
EXP005,NN60,NN60组件,nn60_comp_0278,test,1,35,3
EXP005,NN60,NN60组件,nn60_comp_0279,val,1,35,1
EXP005,NN60,NN60组件,nn60_comp_0280,val,1,35,4
EXP005,NN60,NN60组件,nn60_comp_0281,val,1,35,3
EXP005,NN60,NN60组件,nn60_comp_0282,train,2,35,2
EXP005,NN60,NN60组件,nn60_comp_0283,test,1,35,4
EXP005,NN60,NN60组件,nn60_comp_0284,val,1,35,4
EXP005,NN60,NN60组件,nn60_comp_0285,train,2,35,0
EXP005,NN60,NN60组件,nn60_comp_0286,test,1,35,3
EXP005,NN60,NN60组件,nn60_comp_0287,val,1,35,3
EXP005,NN60,NN60组件,nn60_comp_0288,train,2,35,2
EXP005,NN60,NN60组件,nn60_comp_0289,test,1,34,4
EXP005,NN60,NN60组件,nn60_comp_0290,train,2,34,2
EXP005,NN60,NN60组件,nn60_comp_0291,test,1,34,3
EXP005,NN60,NN60组件,nn60_comp_0292,test,1,34,3
EXP005,NN60,NN60组件,nn60_comp_0293,val,1,34,3
