Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
449,True,,80,80,0,0,0
450,True,,74,74,0,0,0
451,True,,81,81,0,0,0
452,True,,93,93,0,0,0
453,True,,81,81,0,0,0
454,True,,80,80,0,0,0
455,True,,79,79,0,0,0
456,True,,66,66,0,0,0
457,True,,73,73,0,0,0
458,True,,70,70,0,0,0
459,True,,74,74,0,0,0
460,True,,77,77,0,0,0
461,True,,140,140,0,0,0
462,True,,123,123,0,0,0
463,True,,136,136,0,0,0
464,True,,108,108,0,0,0
465,True,,100,100,0,0,0
466,True,,124,124,0,0,0
467,True,,147,147,0,0,0
468,True,,97,97,0,0,0
469,True,,63,63,0,0,0
470,True,,52,52,0,0,0
471,True,,60,60,0,0,0
472,True,,60,60,0,0,0
473,True,,61,61,0,0,0
474,True,,152,152,0,0,0
475,True,,146,146,0,0,0
476,True,,138,138,0,0,0
477,True,,66,66,0,0,0
478,True,,84,84,0,0,0
479,True,,104,104,0,0,0
480,True,,68,68,0,0,0
481,True,,105,105,0,0,0
482,True,,109,109,0,0,0
483,True,,86,86,0,0,0
484,True,,91,91,0,0,0
485,True,,88,88,0,0,0
486,True,,115,115,0,0,0
487,True,,79,79,0,0,0
488,True,,127,127,0,0,0
489,True,,69,69,0,0,0
490,True,,74,74,0,0,0
491,True,,75,75,0,0,0
492,True,,159,159,0,0,0
493,True,,111,111,0,0,0
494,True,,113,113,0,0,0
495,True,,120,120,0,0,0
496,True,,133,133,0,0,0
497,True,,137,137,0,0,0
498,True,,140,140,0,0,0
499,True,,137,137,0,0,0
500,True,,114,114,0,0,0
501,True,,111,111,0,0,0
502,True,,130,130,0,0,0
503,True,,95,95,0,0,0
504,True,,129,129,0,0,0
505,True,,139,139,0,0,0
506,True,,117,117,0,0,0
507,True,,72,72,0,0,0
508,True,,107,107,0,0,0
509,True,,91,91,0,0,0
510,True,,63,63,0,0,0
511,True,,74,74,0,0,0
512,True,,152,152,0,0,0
513,True,,84,84,0,0,0
514,True,,103,103,0,0,0
515,True,,92,92,0,0,0
